NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP	GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP	Details ...	172	-0.37141612	-1.6728027	0.007662835	1.0	0.595	7748	tags=41%, list=27%, signal=56%	
GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP	GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP	Details ...	163	-0.34446916	-1.6633939	0.007968128	1.0	0.613	7351	tags=44%, list=26%, signal=59%	
GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_DN	GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_DN	Details ...	185	-0.33013833	-1.6229931	0.0019880715	1.0	0.701	5720	tags=30%, list=20%, signal=37%	
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN	GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN	Details ...	185	-0.3478241	-1.5675498	0.04990403	1.0	0.796	8129	tags=41%, list=29%, signal=56%	
GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP	GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP	Details ...	194	-0.35415757	-1.5662534	0.050816696	1.0	0.797	8160	tags=37%, list=29%, signal=52%	
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	Details ...	182	-0.43708825	-1.5427048	0.09727626	1.0	0.834	6924	tags=48%, list=24%, signal=64%	
GSE40274_SATB1_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	GSE40274_SATB1_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	Details ...	108	-0.35064465	-1.5406462	0.01927195	1.0	0.836	3726	tags=25%, list=13%, signal=29%	
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	Details ...	190	-0.44332457	-1.5131496	0.11923077	1.0	0.881	7313	tags=48%, list=26%, signal=64%	
GSE26928_EFF_MEM_VS_CENTR_MEM_CD4_TCELL_DN	GSE26928_EFF_MEM_VS_CENTR_MEM_CD4_TCELL_DN	Details ...	169	-0.2938562	-1.5052778	0.022727273	1.0	0.888	4465	tags=26%, list=16%, signal=31%	
GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP	GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP	Details ...	179	-0.28608882	-1.4954427	0.0256917	1.0	0.904	5907	tags=27%, list=21%, signal=34%	
GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_UP	GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_UP	Details ...	185	-0.29807705	-1.4935321	0.015873017	1.0	0.907	6860	tags=35%, list=24%, signal=45%	
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP	GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP	Details ...	195	-0.29397625	-1.4916754	0.024340771	1.0	0.911	7494	tags=35%, list=26%, signal=47%	
GSE21927_EL4_VS_MCA203_TUMOR_MONOCYTES_DN	GSE21927_EL4_VS_MCA203_TUMOR_MONOCYTES_DN	Details ...	174	-0.28391376	-1.4750875	0.013833992	1.0	0.934	3741	tags=22%, list=13%, signal=25%	
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	Details ...	183	-0.43565953	-1.4702864	0.11753372	1.0	0.937	8102	tags=44%, list=29%, signal=62%	
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP	GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP	Details ...	193	-0.4007167	-1.4544159	0.14951456	1.0	0.951	7331	tags=47%, list=26%, signal=63%	
GSE26928_EFF_MEMORY_VS_CXCR5_POS_CD4_TCELL_DN	GSE26928_EFF_MEMORY_VS_CXCR5_POS_CD4_TCELL_DN	Details ...	186	-0.27881825	-1.4302839	0.03984064	1.0	0.967	6161	tags=30%, list=22%, signal=38%	
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP	GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP	Details ...	195	-0.28748533	-1.4300612	0.085436895	1.0	0.967	2470	tags=16%, list=9%, signal=18%	
GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_DN	GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_DN	Details ...	197	-0.30129442	-1.4168001	0.088757396	1.0	0.973	6134	tags=34%, list=22%, signal=43%	
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_DN	GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_DN	Details ...	163	-0.27729005	-1.4154617	0.010822511	1.0	0.973	7926	tags=38%, list=28%, signal=52%	
GSE12003_4D_VS_8D_CULTURE_BM_PROGENITOR_DN	GSE12003_4D_VS_8D_CULTURE_BM_PROGENITOR_DN	Details ...	126	-0.30620754	-1.4142835	0.06540085	1.0	0.973	6401	tags=33%, list=23%, signal=43%	
GSE4590_SMALL_VS_VPREB_POS_LARGE_PRE_BCELL_UP	GSE4590_SMALL_VS_VPREB_POS_LARGE_PRE_BCELL_UP		164	-0.28935584	-1.4141386	0.100409836	1.0	0.973	4345	tags=23%, list=15%, signal=27%	
GSE22886_CD4_TCELL_VS_BCELL_NAIVE_DN	GSE22886_CD4_TCELL_VS_BCELL_NAIVE_DN		185	-0.3210457	-1.4087843	0.10136452	1.0	0.977	5530	tags=31%, list=19%, signal=38%	
GSE20727_CTRL_VS_H2O2_TREATED_DC_DN	GSE20727_CTRL_VS_H2O2_TREATED_DC_DN		194	-0.2795882	-1.3999419	0.09942639	1.0	0.979	5561	tags=28%, list=20%, signal=34%	
GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN		194	-0.33297592	-1.3971515	0.14972274	1.0	0.979	11242	tags=53%, list=40%, signal=86%	
GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP	GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP		186	-0.28102627	-1.3768605	0.057692308	1.0	0.981	5350	tags=28%, list=19%, signal=35%	
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN	GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN		173	-0.26938993	-1.3685843	0.01910828	1.0	0.987	6137	tags=30%, list=22%, signal=38%	
GSE29618_BCELL_VS_MONOCYTE_UP	GSE29618_BCELL_VS_MONOCYTE_UP		187	-0.41511515	-1.367652	0.23800384	1.0	0.988	8114	tags=51%, list=29%, signal=71%	
GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN	GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN		107	-0.314234	-1.3660454	0.036	1.0	0.988	5811	tags=35%, list=20%, signal=43%	
GSE32986_UNSTIM_VS_GMCSF_STIM_DC_UP	GSE32986_UNSTIM_VS_GMCSF_STIM_DC_UP		193	-0.30241507	-1.3574929	0.14563107	1.0	0.991	5901	tags=31%, list=21%, signal=38%	
GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_UP	GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_UP		198	-0.31037563	-1.3573357	0.1669903	1.0	0.991	6009	tags=36%, list=21%, signal=46%	
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_DN	GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_DN		177	-0.261971	-1.3460968	0.04761905	1.0	0.992	6146	tags=31%, list=22%, signal=39%	
GSE46025_WT_VS_FOXO1_KO_KLRG1_LOW_CD8_EFFECTOR_TCELL_DN	GSE46025_WT_VS_FOXO1_KO_KLRG1_LOW_CD8_EFFECTOR_TCELL_DN		187	-0.26749557	-1.3460324	0.12989691	1.0	0.992	7082	tags=33%, list=25%, signal=44%	
GSE13887_RESTING_VS_NO_TREATED_CD4_TCELL_UP	GSE13887_RESTING_VS_NO_TREATED_CD4_TCELL_UP		107	-0.29129425	-1.3458167	0.07725322	1.0	0.992	2413	tags=18%, list=8%, signal=19%	
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN	GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN		156	-0.27122688	-1.3415794	0.04208417	1.0	0.994	6560	tags=33%, list=23%, signal=43%	
GSE22886_TCELL_VS_BCELL_NAIVE_DN	GSE22886_TCELL_VS_BCELL_NAIVE_DN		185	-0.32078007	-1.3374218	0.17588933	1.0	0.994	8104	tags=45%, list=29%, signal=62%	
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP		184	-0.2996817	-1.3347442	0.13539653	1.0	0.994	7438	tags=36%, list=26%, signal=48%	
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP		185	-0.27373198	-1.3345268	0.1444653	1.0	0.994	5669	tags=25%, list=20%, signal=32%	
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_DN	GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_DN		186	-0.25672647	-1.3328593	0.03742204	1.0	0.995	6401	tags=27%, list=23%, signal=35%	
