NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP	GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP	Details ...	192	0.60692054	2.3832707	0.0	0.0042312266	0.002	3532	tags=39%, list=12%, signal=44%	
GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_DN	GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_DN	Details ...	198	0.5527878	2.3816814	0.0	0.0026279516	0.002	3886	tags=39%, list=14%, signal=45%	
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN	GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN	Details ...	195	0.5365144	2.3721175	0.0	0.0020891642	0.003	4281	tags=37%, list=15%, signal=43%	
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	Details ...	196	0.55888313	2.370917	0.0	0.0015668732	0.003	4461	tags=41%, list=16%, signal=48%	
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	Details ...	199	0.60821325	2.3704727	0.0	0.0012534985	0.003	3201	tags=37%, list=11%, signal=42%	
GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_UP	GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_UP	Details ...	197	0.5456153	2.35697	0.0	0.0017928798	0.004	3961	tags=37%, list=14%, signal=42%	
GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP	GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP	Details ...	199	0.5968129	2.3541229	0.0	0.0015367541	0.004	3043	tags=35%, list=11%, signal=39%	
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	Details ...	176	0.5409475	2.3470554	0.0	0.0013446597	0.004	3945	tags=39%, list=14%, signal=45%	
GSE22886_CTRL_VS_LPS_24H_DC_DN	GSE22886_CTRL_VS_LPS_24H_DC_DN	Details ...	199	0.5621694	2.3437557	0.0	0.0011952532	0.004	4237	tags=41%, list=15%, signal=48%	
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_DN	GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_DN	Details ...	197	0.52154523	2.3427713	0.0	0.0010757279	0.004	3261	tags=34%, list=11%, signal=38%	
GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP	GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP	Details ...	192	0.60937005	2.342669	0.0	9.779345E-4	0.004	3208	tags=41%, list=11%, signal=45%	
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN	GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN	Details ...	196	0.57898504	2.3339126	0.0	0.0011636524	0.004	3138	tags=37%, list=11%, signal=42%	
GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN	GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN	Details ...	198	0.5624572	2.3211622	0.0	0.0013042969	0.005	3511	tags=42%, list=12%, signal=48%	
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	Details ...	198	0.56744254	2.3163316	0.0	0.0012111329	0.005	4440	tags=38%, list=16%, signal=45%	
GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP	GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP	Details ...	196	0.57563126	2.3149865	0.0	0.0011303907	0.005	4097	tags=42%, list=14%, signal=49%	
GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_DN	GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_DN	Details ...	199	0.58355224	2.3107216	0.0	0.0012763105	0.005	4871	tags=44%, list=17%, signal=52%	
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	Details ...	198	0.5524322	2.309113	0.001934236	0.0012615086	0.005	2490	tags=31%, list=9%, signal=34%	
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	Details ...	194	0.53724223	2.3028977	0.0	0.0013622042	0.005	4440	tags=40%, list=16%, signal=47%	
GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	Details ...	198	0.65176004	2.3009982	0.0019267823	0.0013444395	0.005	3028	tags=42%, list=11%, signal=47%	
GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	Details ...	199	0.5579737	2.2993634	0.0	0.0014268191	0.005	3228	tags=35%, list=11%, signal=39%	
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN	GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN		195	0.610175	2.2911136	0.0	0.0015926306	0.005	3201	tags=39%, list=11%, signal=44%	
GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_UP	GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_UP		190	0.6147893	2.2903676	0.0	0.0015202385	0.005	3180	tags=40%, list=11%, signal=45%	
GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_MAC_DN	GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_MAC_DN		191	0.48764688	2.2892132	0.0	0.0014986923	0.005	2882	tags=28%, list=10%, signal=31%	
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN	GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN		199	0.6000701	2.2886636	0.0	0.0014362467	0.005	1723	tags=34%, list=6%, signal=36%	
GSE2706_UNSTIM_VS_2H_LPS_DC_DN	GSE2706_UNSTIM_VS_2H_LPS_DC_DN		186	0.5074467	2.2835646	0.0	0.0015804525	0.005	2798	tags=30%, list=10%, signal=33%	
GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_DN	GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_DN		181	0.5263484	2.2829561	0.0	0.0015902364	0.005	4191	tags=34%, list=15%, signal=39%	
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN		185	0.51850265	2.2819898	0.0	0.0015313389	0.005	2489	tags=30%, list=9%, signal=32%	
GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN	GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN		184	0.5021868	2.2796242	0.0	0.0015206556	0.006	4525	tags=39%, list=16%, signal=46%	
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN		198	0.48439044	2.2776992	0.0	0.0015183324	0.007	3202	tags=30%, list=11%, signal=34%	
GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN	GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN		197	0.62762994	2.277074	0.0	0.0014677213	0.007	2355	tags=38%, list=8%, signal=41%	
GSE9006_1MONTH_VS_4MONTH_POST_TYPE_1_DIABETES_DX_PBMC_UP	GSE9006_1MONTH_VS_4MONTH_POST_TYPE_1_DIABETES_DX_PBMC_UP		187	0.55279887	2.2763622	0.0	0.0014203755	0.007	6395	tags=47%, list=23%, signal=60%	
GSE3982_CTRL_VS_LPS_48H_DC_DN	GSE3982_CTRL_VS_LPS_48H_DC_DN		193	0.5144328	2.275957	0.0	0.0013759887	0.007	3225	tags=31%, list=11%, signal=34%	
