NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_56D_TOP_100_DEG_AFTER_IN_VITRO_RE_STIMULATION_UP	HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_56D_TOP_100_DEG_AFTER_IN_VITRO_RE_STIMULATION_UP	Details ...	23	0.5972757	2.0503602	0.0062240665	0.025048304	0.038	4792	tags=48%, list=17%, signal=57%	
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_POSITIVE	ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_POSITIVE	Details ...	83	0.48390928	1.9138814	0.003968254	0.0691036	0.139	6913	tags=51%, list=24%, signal=67%	
HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_DN	HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_DN	Details ...	35	0.57822555	1.8365892	0.0	0.099026695	0.23	3138	tags=34%, list=11%, signal=38%	
OVSYANNIKOVA_PBMC_FLUARIX_AGE_55_64YO_RESPONDERS_VS_NONRESPONDERS_0DY_UP	OVSYANNIKOVA_PBMC_FLUARIX_AGE_55_64YO_RESPONDERS_VS_NONRESPONDERS_0DY_UP	Details ...	30	0.53096557	1.7500621	0.0116054155	0.14964806	0.393	3334	tags=40%, list=12%, signal=45%	
SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_MEDIUM_HIGH_ADVERSE_EVENT_SUBJECTS_1DY_UP	SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_MEDIUM_HIGH_ADVERSE_EVENT_SUBJECTS_1DY_UP	Details ...	38	0.60340524	1.6454167	0.087548636	0.24468577	0.59	5528	tags=63%, list=19%, signal=78%	
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE	NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE	Details ...	362	0.34850177	1.5753357	0.049309663	0.31538695	0.749	10709	tags=53%, list=38%, signal=84%	
PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_DN	PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_DN	Details ...	39	0.44676384	1.5574368	0.028225806	0.29964796	0.784	4813	tags=33%, list=17%, signal=40%	
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_NEGATIVE	NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_NEGATIVE	Details ...	471	0.3032755	1.509023	0.067567565	0.34174183	0.844	7358	tags=35%, list=26%, signal=46%	
SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_HIGH_VS_LOW_RESPONDERS_MEDIUM_HIGH_ADVERSE_EVENTS_SCORE_1DY_CORRELATED_WITH_TRANSITIONAL_B_CELLS_UP	SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_HIGH_VS_LOW_RESPONDERS_MEDIUM_HIGH_ADVERSE_EVENTS_SCORE_1DY_CORRELATED_WITH_TRANSITIONAL_B_CELLS_UP	Details ...	21	0.64638454	1.5004431	0.11931818	0.31758478	0.853	6697	tags=81%, list=24%, signal=106%	
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE	ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE	Details ...	72	0.34409204	1.3913021	0.061507937	0.49230942	0.963	6414	tags=33%, list=23%, signal=43%	
MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_WILD_TYPE_MVA_6HR_UP	MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_WILD_TYPE_MVA_6HR_UP	Details ...	28	0.41485485	1.3631812	0.10655738	0.5059965	0.979	7829	tags=50%, list=28%, signal=69%	
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP	ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP	Details ...	38	0.3338038	1.3560597	0.052301254	0.47667944	0.98	4846	tags=29%, list=17%, signal=35%	
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_UP	ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_UP	Details ...	70	0.29667255	1.3429863	0.048582997	0.46548432	0.985	4507	tags=26%, list=16%, signal=30%	
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_UP	ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_UP	Details ...	36	0.3281053	1.319063	0.06916996	0.47844934	0.99	4116	tags=25%, list=14%, signal=29%	
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP	ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP	Details ...	165	0.34662062	1.2853326	0.24418604	0.5140615	0.993	5308	tags=28%, list=19%, signal=35%	
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_70PLS_NONRESPONDER_2DY_UP	THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_70PLS_NONRESPONDER_2DY_UP	Details ...	109	0.31883514	1.2837857	0.1875	0.484689	0.993	7018	tags=33%, list=25%, signal=44%	
HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_7DY_TOP_100_DEG_EX_VIVO_DN	HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_7DY_TOP_100_DEG_EX_VIVO_DN	Details ...	15	0.40167195	1.2777332	0.15831663	0.4675314	0.993	4657	tags=40%, list=16%, signal=48%	
VOIGT_PBMC_FLUARIX_AGE_50_74YO_FEMALES_VS_MALES_0DY_TO_28D_UP	VOIGT_PBMC_FLUARIX_AGE_50_74YO_FEMALES_VS_MALES_0DY_TO_28D_UP	Details ...	20	0.5139252	1.2284853	0.2851485	0.5342952	0.998	8008	tags=75%, list=28%, signal=104%	
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_UP	ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_UP	Details ...	36	0.3011969	1.2189175	0.20247933	0.52489024	0.999	6270	tags=42%, list=22%, signal=53%	
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP	THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP	Details ...	173	0.2710524	1.1952615	0.2905983	0.5419673	0.999	7486	tags=32%, list=26%, signal=43%	
HARALAMBIEVA_PBMC_TIV_AGE_50_74YO_CORRELATED_WITH_MEMORY_B_CELL_RESPONSE_28DY_NEGATIVE	HARALAMBIEVA_PBMC_TIV_AGE_50_74YO_CORRELATED_WITH_MEMORY_B_CELL_RESPONSE_28DY_NEGATIVE		25	0.37505704	1.1881607	0.25831702	0.5297985	1.0	8094	tags=44%, list=29%, signal=61%	
HOEK_T_CELL_2011_2012_TIV_ADULT_3DY_UP	HOEK_T_CELL_2011_2012_TIV_ADULT_3DY_UP		17	0.3808014	1.1192743	0.33066133	0.63840157	1.0	2041	tags=18%, list=7%, signal=19%	
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_UP	THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_UP		126	0.23039247	1.1096168	0.33665338	0.6291689	1.0	2453	tags=14%, list=9%, signal=16%	
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_DN	NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_DN		430	0.24179995	1.0923562	0.35658914	0.63755524	1.0	8180	tags=34%, list=29%, signal=47%	
NAKAYA_B_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	NAKAYA_B_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN		288	0.19657698	1.0589337	0.4097363	0.676382	1.0	6399	tags=26%, list=23%, signal=33%	
HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_56D_TOP_100_DEG_AFTER_IN_VITRO_RE_STIMULATION_DN	HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_56D_TOP_100_DEG_AFTER_IN_VITRO_RE_STIMULATION_DN		41	0.25629944	1.0123677	0.4623218	0.74171257	1.0	2224	tags=17%, list=8%, signal=18%	
FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_0DY_POSITIVE	FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_0DY_POSITIVE		22	0.3590519	0.9827406	0.5326923	0.77153236	1.0	7061	tags=41%, list=25%, signal=54%	
HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_3DY_UP	HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_3DY_UP		16	0.3413055	0.98079807	0.48870638	0.7477301	1.0	2201	tags=25%, list=8%, signal=27%	
NAKAYA_B_CELL_FLUMIST_AGE_18_50YO_7DY_UP	NAKAYA_B_CELL_FLUMIST_AGE_18_50YO_7DY_UP		471	0.17269476	0.97006875	0.506986	0.74143136	1.0	6392	tags=24%, list=23%, signal=30%	
FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_14DY_POSITIVE	FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_14DY_POSITIVE		23	0.29294565	0.96572244	0.5047985	0.7250312	1.0	6939	tags=48%, list=24%, signal=63%	
SCHERER_PBMC_APSV_WETVAX_AGE_18_40YO_5_TO_7DY_DN	SCHERER_PBMC_APSV_WETVAX_AGE_18_40YO_5_TO_7DY_DN		20	0.37956318	0.9632308	0.5526839	0.7057226	1.0	8578	tags=60%, list=30%, signal=86%	
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_POSITIVE	HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_POSITIVE		471	0.19040108	0.93298215	0.5761719	0.73570603	1.0	6223	tags=23%, list=22%, signal=29%	
HOEK_NK_CELL_2011_2012_TIV_ADULT_3DY_UP	HOEK_NK_CELL_2011_2012_TIV_ADULT_3DY_UP		21	0.23821321	0.885649	0.65936255	0.7954253	1.0	11073	tags=43%, list=39%, signal=70%	
