NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TRAVAGLINI_LUNG_NEUTROPHIL_CELL	TRAVAGLINI_LUNG_NEUTROPHIL_CELL	Details ...	363	0.6675355	2.4217405	0.0	0.0	0.0	2962	tags=44%, list=10%, signal=49%	
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	Details ...	370	0.59818625	2.2580204	0.0	0.005499482	0.008	4102	tags=43%, list=14%, signal=49%	
ZHONG_PFC_MAJOR_TYPES_MICROGLIA	ZHONG_PFC_MAJOR_TYPES_MICROGLIA	Details ...	437	0.58351886	2.2506351	0.0	0.0036663215	0.008	5037	tags=46%, list=18%, signal=55%	
GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL	GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL	Details ...	324	0.63066447	2.2487833	0.0	0.002749741	0.008	3634	tags=42%, list=13%, signal=48%	
CUI_DEVELOPING_HEART_C8_MACROPHAGE	CUI_DEVELOPING_HEART_C8_MACROPHAGE	Details ...	275	0.6851946	2.2417417	0.0	0.002199793	0.008	2740	tags=45%, list=10%, signal=49%	
HU_FETAL_RETINA_MICROGLIA	HU_FETAL_RETINA_MICROGLIA	Details ...	379	0.5745442	2.2247865	0.0	0.0021875	0.009	4717	tags=41%, list=17%, signal=49%	
AIZARANI_LIVER_C25_KUPFFER_CELLS_4	AIZARANI_LIVER_C25_KUPFFER_CELLS_4	Details ...	173	0.70458645	2.189522	0.001968504	0.0032653944	0.011	2275	tags=46%, list=8%, signal=49%	
HE_LIM_SUN_FETAL_LUNG_C2_CXCL9_POS_MACROPHAGE_CELL	HE_LIM_SUN_FETAL_LUNG_C2_CXCL9_POS_MACROPHAGE_CELL	Details ...	126	0.6748919	2.1785398	0.001992032	0.0035375662	0.011	3604	tags=49%, list=13%, signal=56%	
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS	Details ...	74	0.6213421	2.1627085	0.0	0.00417573	0.012	4384	tags=51%, list=15%, signal=61%	
HE_LIM_SUN_FETAL_LUNG_C2_APOE_POS_M2_MACROPHAGE_CELL	HE_LIM_SUN_FETAL_LUNG_C2_APOE_POS_M2_MACROPHAGE_CELL	Details ...	473	0.45634025	2.15787	0.0	0.0040134504	0.013	4526	tags=32%, list=16%, signal=37%	
