NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	81	0.9875625371932983	0.01673836	Yes	
row_1	SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	94	0.9542522430419922	0.03526223	Yes	
row_2	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	96	0.9516485929489136	0.054124497	Yes	
row_3	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	125	0.9064008593559265	0.07113072	Yes	
row_4	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	135	0.8980507850646973	0.088644944	Yes	
row_5	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.105740465	Yes	
row_6	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	168	0.8651495575904846	0.122246705	Yes	
row_7	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	234	0.802857518196106	0.13588463	Yes	
row_8	SLC66A3	solute carrier family 66 member 3 [Source:HGNC Symbol;Acc:HGNC:28503]	321	0.7504054307937622	0.14773624	Yes	
row_9	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	611	0.6340736150741577	0.15007864	Yes	
row_10	RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	645	0.6207101941108704	0.16123433	Yes	
row_11	CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	654	0.6193074584007263	0.17324877	Yes	
row_12	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	693	0.6081950664520264	0.18397862	Yes	
row_13	TKT	transketolase [Source:HGNC Symbol;Acc:HGNC:11834]	695	0.6074221134185791	0.19600528	Yes	
row_14	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	728	0.598729133605957	0.20675994	Yes	
row_15	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	832	0.5751471519470215	0.21452841	Yes	
row_16	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	965	0.5467563271522522	0.22070464	Yes	
row_17	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	969	0.5460782647132874	0.23144221	Yes	
row_18	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	1162	0.5098648071289062	0.23475806	Yes	
row_19	PIM3	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]	1188	0.5056542754173279	0.2439127	Yes	
row_20	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	1270	0.49289271235466003	0.25082797	Yes	
row_21	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	1326	0.48504549264907837	0.25850946	Yes	
row_22	CD151	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	1368	0.47912314534187317	0.26656982	Yes	
row_23	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	1452	0.4666433334350586	0.2728929	Yes	
row_24	LPCAT3	lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]	1608	0.44693541526794434	0.27627125	Yes	
row_25	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1647	0.44226717948913574	0.28370613	Yes	
row_26	UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	1653	0.44204723834991455	0.29230693	Yes	
row_27	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	1654	0.4419993758201599	0.3010841	Yes	
row_28	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	1677	0.439754843711853	0.3090365	Yes	
row_29	PEMT	phosphatidylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8830]	1710	0.43641147017478943	0.3165679	Yes	
row_30	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1720	0.43531113862991333	0.3248931	Yes	
row_31	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	1726	0.43433478474617004	0.33334073	Yes	
row_32	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	1794	0.42821037769317627	0.33946803	Yes	
row_33	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	1869	0.4199744164943695	0.34518352	Yes	
row_34	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	2014	0.40716463327407837	0.3481622	Yes	
row_35	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	2044	0.40559619665145874	0.35518804	Yes	
row_36	ARAF	A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]	2066	0.40340420603752136	0.3624541	Yes	
row_37	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	2227	0.38910210132598877	0.36450666	Yes	
row_38	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	2249	0.3874194920063019	0.37145525	Yes	
row_39	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	2287	0.38356372714042664	0.37775987	Yes	
row_40	COQ3	coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]	2561	0.3623490035533905	0.37527382	Yes	
row_41	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	2600	0.35955169796943665	0.38106614	Yes	
row_42	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	2607	0.35920560359954834	0.38798642	Yes	
row_43	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	2671	0.35415881872177124	0.39278507	Yes	
row_44	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	2716	0.35077565908432007	0.39819035	Yes	
row_45	DRAM2	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]	2728	0.35000938177108765	0.40475067	Yes	
row_46	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2735	0.34915435314178467	0.41147137	Yes	
row_47	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	2865	0.33949196338653564	0.41363817	Yes	
row_48	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	3020	0.3302319347858429	0.4147345	Yes	
row_49	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3032	0.3294038772583008	0.42088568	Yes	
