NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.01847494	Yes	
row_1	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	92	0.9667132496833801	0.038091034	Yes	
row_2	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	97	0.9507949352264404	0.057869926	Yes	
row_3	GFUS	GDP-L-fucose synthase [Source:HGNC Symbol;Acc:HGNC:12390]	214	0.823500394821167	0.07101128	Yes	
row_4	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	225	0.8120447993278503	0.08767043	Yes	
row_5	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	238	0.8016046285629272	0.10403994	Yes	
row_6	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	240	0.8002263307571411	0.12077052	Yes	
row_7	AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	338	0.740541934967041	0.13284734	Yes	
row_8	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	355	0.7322933077812195	0.14762285	Yes	
row_9	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	434	0.6950296759605408	0.15941969	Yes	
row_10	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	439	0.6934508085250854	0.17380679	Yes	
row_11	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	560	0.6510196328163147	0.1831926	Yes	
row_12	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	570	0.6462322473526001	0.19641316	Yes	
row_13	GPER1	G protein-coupled estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:4485]	573	0.6456425786018372	0.2098695	Yes	
row_14	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	579	0.6435246467590332	0.22317514	Yes	
row_15	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	685	0.6098031401634216	0.23222916	Yes	
row_16	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	712	0.6023054718971252	0.2439267	Yes	
row_17	SLC2A8	solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]	739	0.5969659090042114	0.2555124	Yes	
row_18	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	788	0.5851636528968811	0.26607087	Yes	
row_19	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	822	0.576324999332428	0.27697593	Yes	
row_20	METTL3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit [Source:HGNC Symbol;Acc:HGNC:17563]	909	0.5596269965171814	0.28565225	Yes	
row_21	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	1037	0.5330774784088135	0.29231882	Yes	
row_22	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	1162	0.5098648071289062	0.29860538	Yes	
row_23	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	1183	0.5068939328193665	0.30851662	Yes	
row_24	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	1213	0.500795841217041	0.31798103	Yes	
row_25	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	1261	0.4937764108181	0.32666025	Yes	
row_26	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1282	0.4910338222980499	0.3362392	Yes	
row_27	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	1334	0.4830877184867859	0.34455267	Yes	
row_28	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1749	0.4327057898044586	0.33894187	Yes	
row_29	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	1973	0.41152170300483704	0.33965835	Yes	
row_30	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	2131	0.3976401388645172	0.34242377	Yes	
row_31	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	2231	0.388701856136322	0.34705806	Yes	
row_32	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2277	0.3846098482608795	0.35352096	Yes	
row_33	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	2350	0.3778045177459717	0.3588841	Yes	
row_34	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	2372	0.37569859623908997	0.36601114	Yes	
row_35	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	2480	0.367422491312027	0.36991596	Yes	
row_36	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	2794	0.3444144129753113	0.36603588	Yes	
row_37	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	3001	0.33135801553726196	0.36567548	Yes	
row_38	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	3011	0.330776184797287	0.3722867	Yes	
row_39	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	3148	0.3230862021446228	0.37423456	Yes	
row_40	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	3652	0.29861485958099365	0.36265922	Yes	
row_41	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	3745	0.2941736578941345	0.36556113	Yes	
row_42	ARL3	ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694]	3964	0.2840145230293274	0.3637834	Yes	
row_43	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	3990	0.2823217213153839	0.3688122	Yes	
row_44	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	4109	0.2770749032497406	0.37043417	Yes	
row_45	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	4183	0.2735815644264221	0.37357822	Yes	
row_46	TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	4384	0.2649666368961334	0.37203953	Yes	
row_47	HR	HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172]	4486	0.2605680227279663	0.3739183	Yes	
row_48	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	4779	0.24814368784427643	0.36876565	Yes	
row_49	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	4889	0.24383825063705444	0.3700103	Yes	
row_50	CHST8	carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993]	4951	0.2404843419790268	0.37288633	Yes	
row_51	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	4975	0.23966649174690247	0.37709236	Yes	
row_52	TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	5483	0.2220819741487503	0.3637717	No	
row_53	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]	5630	0.21673019230365753	0.36313674	No	
row_54	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	5866	0.20757071673870087	0.3591547	No	
row_55	IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	5911	0.20528696477413177	0.36189595	No	
row_56	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	5913	0.20525676012039185	0.36616096	No	
row_57	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	6547	0.1881580948829651	0.34766275	No	
row_58	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	6778	0.18360500037670135	0.34335583	No	
row_59	CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	7793	0.1598636656999588	0.310758	No	
row_60	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	7895	0.1556730568408966	0.31043905	No	
row_61	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	7930	0.15436521172523499	0.31246793	No	
row_62	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	7978	0.15225344896316528	0.3139917	No	
row_63	MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	8271	0.14014871418476105	0.30657637	No	
row_64	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	8289	0.13938720524311066	0.30889407	No	
row_65	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	8380	0.13626553118228912	0.3085585	No	
row_66	RAPGEFL1	Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]	8437	0.13403144478797913	0.3093814	No	
row_67	KCNK5	potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]	8524	0.13049837946891785	0.30906677	No	
