NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	62	1.03531813621521	0.018444702	Yes	
row_1	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	83	0.9850785732269287	0.03737733	Yes	
row_2	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	188	0.8459339737892151	0.050556123	Yes	
row_3	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	227	0.8108921051025391	0.06537712	Yes	
row_4	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	264	0.7844880819320679	0.07974257	Yes	
row_5	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	302	0.755825400352478	0.09350104	Yes	
row_6	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	341	0.7384522557258606	0.106877625	Yes	
row_7	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	395	0.7109798789024353	0.11917439	Yes	
row_8	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	491	0.672667920589447	0.12921757	Yes	
row_9	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	564	0.6502264738082886	0.13962904	Yes	
row_10	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	570	0.6462322473526001	0.15233725	Yes	
row_11	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	613	0.632758617401123	0.16346449	Yes	
row_12	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	629	0.6277572512626648	0.17544964	Yes	
row_13	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	703	0.6044852137565613	0.18491358	Yes	
row_14	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	711	0.6024589538574219	0.19667804	Yes	
row_15	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	728	0.598729133605957	0.20804892	Yes	
row_16	PSMD13	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]	743	0.5965582728385925	0.21944745	Yes	
row_17	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	812	0.5790117383003235	0.2285808	Yes	
row_18	PSMB5	proteasome 20S subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542]	1006	0.5394399166107178	0.23249155	Yes	
row_19	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	1164	0.5096734166145325	0.23708564	Yes	
row_20	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	1183	0.5068939328193665	0.24655443	Yes	
row_21	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	1275	0.4921635091304779	0.2531403	Yes	
row_22	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	1280	0.4911588132381439	0.2627919	Yes	
