NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	965	0.5467563271522522	0.02087556	No	
row_1	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	1178	0.5076166391372681	0.06439283	No	
row_2	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	1392	0.4753882884979248	0.10463691	No	
row_3	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	2717	0.3507493734359741	0.09315077	No	
row_4	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	3547	0.30441367626190186	0.09447835	No	
row_5	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	5236	0.2309631109237671	0.058111746	No	
row_6	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	6121	0.19919204711914062	0.046926986	No	
row_7	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	7561	0.1640578657388687	0.012625996	No	
row_8	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	7757	0.16145817935466766	0.02196557	No	
row_9	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	8569	0.12923288345336914	0.0063284263	No	
row_10	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	8753	0.12195510417222977	0.012122721	No	
row_11	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	9181	0.10741349309682846	0.007845105	No	
row_12	PES1	pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8848]	9320	0.10278984159231186	0.013302001	No	
row_13	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	9398	0.0999290943145752	0.020624224	No	
row_14	GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	9734	0.08824290335178375	0.017667342	No	
row_15	WDR43	WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945]	9851	0.08458364754915237	0.022071507	No	
row_16	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	10005	0.07877388596534729	0.024586221	No	
row_17	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	10076	0.07675189524888992	0.029826928	No	
row_18	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	10112	0.07542463392019272	0.036169466	No	
row_19	PHB1	prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]	10145	0.07412068545818329	0.042486873	No	
row_20	TFB2M	transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]	10327	0.06819754838943481	0.04295087	No	
row_21	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	10502	0.0629056915640831	0.043130238	No	
row_22	FARSA	phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]	11244	0.038569360971450806	0.020854723	No	
row_23	IPO4	importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]	11362	0.03501377999782562	0.020243442	No	
row_24	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	11559	0.030019139871001244	0.01634239	No	
row_25	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	12004	0.016957992687821388	0.002377003	No	
row_26	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	12751	-0.004856859799474478	-0.023461975	No	
row_27	IMP4	IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]	13010	-0.01174070779234171	-0.03138744	No	
row_28	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	13608	-0.028969841077923775	-0.049545523	No	
row_29	NOC4L	nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]	14009	-0.040053144097328186	-0.059637807	No	
row_30	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	14313	-0.047917064279317856	-0.065516815	No	
row_31	WDR74	WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]	14523	-0.05399039015173912	-0.067468315	No	
row_32	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	14878	-0.06415960937738419	-0.07351531	No	
row_33	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	14984	-0.06709379702806473	-0.07048011	No	
row_34	GRWD1	glutamate rich WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:21270]	15145	-0.07140956819057465	-0.0689523	No	
row_35	PPAN	peter pan homolog [Source:HGNC Symbol;Acc:HGNC:9227]	15235	-0.07447224110364914	-0.06461115	No	
row_36	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	15412	-0.0794214978814125	-0.06284306	No	
row_37	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	16550	-0.11019986122846603	-0.091897205	No	
row_38	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	16854	-0.11826775968074799	-0.09070826	No	
row_39	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	18359	-0.16077515482902527	-0.12763296	Yes	
row_40	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	18452	-0.1636541783809662	-0.1144378	Yes	
row_41	NIP7	nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]	18508	-0.165346160531044	-0.0997669	Yes	
row_42	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	18597	-0.1684321016073227	-0.08595055	Yes	
row_43	UTP20	UTP20 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]	18777	-0.1743752658367157	-0.07474858	Yes	
row_44	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]	19332	-0.18441861867904663	-0.07577162	Yes	
row_45	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	20374	-0.20133750140666962	-0.09228149	Yes	
row_46	PPRC1	PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025]	21338	-0.22506529092788696	-0.1036548	Yes	
row_47	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]	21921	-0.23948970437049866	-0.10013314	Yes	
row_48	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	22115	-0.2450740784406662	-0.082322314	Yes	
row_49	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]	22604	-0.2588227093219757	-0.07354098	Yes	
row_50	RABEPK	Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]	23360	-0.2804049253463745	-0.07201398	Yes	
row_51	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	23449	-0.28359922766685486	-0.046627097	Yes	
row_52	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]	23831	-0.2982320487499237	-0.030110296	Yes	
