NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	7	1.4155610799789429	0.061748583	Yes	
row_1	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	67	1.0214101076126099	0.10439727	Yes	
row_2	CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	194	0.8392593860626221	0.13670073	Yes	
row_3	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	246	0.7967796325683594	0.1697942	Yes	
row_4	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	316	0.7518308758735657	0.20028299	Yes	
row_5	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	693	0.6081950664520264	0.2136319	Yes	
row_6	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	783	0.5865679383277893	0.23617604	Yes	
row_7	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	1032	0.5334588885307312	0.25077525	Yes	
row_8	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	1103	0.5211107134819031	0.27112406	Yes	
row_9	NR1I2	nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]	1308	0.48844975233078003	0.285307	Yes	
row_10	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	1454	0.4659591615200043	0.30058992	Yes	
row_11	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1647	0.44226717948913574	0.3131743	Yes	
row_12	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	1742	0.43333762884140015	0.32883087	Yes	
row_13	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1837	0.42433613538742065	0.3440932	Yes	
row_14	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	1964	0.41237378120422363	0.35770077	Yes	
row_15	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	1973	0.41152170300483704	0.37544107	Yes	
row_16	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	2600	0.35955169796943665	0.36906552	Yes	
row_17	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	2797	0.3442145586013794	0.37721422	Yes	
row_18	STS	steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425]	2986	0.3321302533149719	0.3851164	Yes	
row_19	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	3407	0.31189143657684326	0.38393342	Yes	
row_20	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	3885	0.2873951494693756	0.3796633	Yes	
row_21	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	3956	0.2843191921710968	0.38964158	Yes	
row_22	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	4044	0.2804345488548279	0.39884898	Yes	
row_23	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	4426	0.2628926932811737	0.3968983	Yes	
row_24	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	4687	0.25266095995903015	0.3987756	Yes	
row_25	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	4742	0.2500450313091278	0.40781826	Yes	
row_26	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	5264	0.22935013473033905	0.39945105	Yes	
row_27	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	5642	0.21629515290260315	0.39560094	Yes	
