NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	66	1.021483063697815	0.02061879	Yes	
row_1	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	67	1.0214101076126099	0.043573383	Yes	
row_2	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	68	1.0211714506149292	0.06652261	Yes	
row_3	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	74	1.002806305885315	0.08888204	Yes	
row_4	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	83	0.9850785732269287	0.11073681	Yes	
row_5	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	101	0.935763955116272	0.13116457	Yes	
row_6	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	125	0.9064008593559265	0.15071994	Yes	
row_7	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	240	0.8002263307571411	0.16466638	Yes	
row_8	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	309	0.7546647191047668	0.17921801	Yes	
row_9	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	311	0.753808856010437	0.19612327	Yes	
row_10	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	461	0.6870517730712891	0.20628673	Yes	
row_11	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.22126712	Yes	
row_12	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	548	0.6546094417572021	0.23328684	Yes	
row_13	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	605	0.6360108852386475	0.2455969	Yes	
row_14	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	657	0.6187642216682434	0.25769645	Yes	
row_15	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	685	0.6098031401634216	0.2704446	Yes	
row_16	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	801	0.5812645554542542	0.2794348	Yes	
row_17	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	808	0.5804692506790161	0.29226744	Yes	
row_18	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	1033	0.5334417819976807	0.29632258	Yes	
row_19	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1054	0.5295168161392212	0.3075143	Yes	
row_20	BIK	BCL2 interacting killer [Source:HGNC Symbol;Acc:HGNC:1051]	1132	0.514348030090332	0.31634647	Yes	
row_21	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	1247	0.49546781182289124	0.32344392	Yes	
row_22	DAP	death associated protein [Source:HGNC Symbol;Acc:HGNC:2672]	1283	0.49093395471572876	0.33323735	Yes	
row_23	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	1334	0.4830877184867859	0.3423232	Yes	
row_24	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	1427	0.4701244831085205	0.34963027	Yes	
row_25	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	1438	0.46865132451057434	0.3598083	Yes	
row_26	PEA15	proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]	1609	0.4469241797924042	0.36383155	Yes	
row_27	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	1669	0.4404934346675873	0.37164143	Yes	
row_28	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1720	0.43531113862991333	0.37965357	Yes	
row_29	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	1865	0.4203419089317322	0.3840002	Yes	
row_30	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	1874	0.4193499684333801	0.39314112	Yes	
row_31	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1905	0.4162857234477997	0.40143403	Yes	
row_32	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	2310	0.3817867040634155	0.3957061	Yes	
row_33	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	2344	0.3788083493709564	0.4030505	Yes	
row_34	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	2650	0.35564541816711426	0.40024126	Yes	
row_35	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	2654	0.3554877042770386	0.40812406	Yes	
row_36	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	2850	0.34011101722717285	0.40886143	Yes	
row_37	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	3014	0.33053460717201233	0.41051692	Yes	
row_38	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	3134	0.3235477805137634	0.41357365	Yes	
row_39	AIFM3	apoptosis inducing factor mitochondria associated 3 [Source:HGNC Symbol;Acc:HGNC:26398]	3150	0.3230530917644501	0.42030254	Yes	
row_40	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	3166	0.32231804728507996	0.4270149	Yes	
row_41	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	3261	0.317962646484375	0.43083152	Yes	
row_42	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	3519	0.3059414327144623	0.42860523	Yes	
row_43	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	3691	0.2971453368663788	0.429227	Yes	
row_44	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	3752	0.2938811480998993	0.43370658	Yes	
row_45	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3793	0.29209524393081665	0.4388543	Yes	
row_46	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	3956	0.2843191921710968	0.4395066	Yes	
row_47	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	5113	0.2354382574558258	0.40385705	No	
row_48	GUCY2D	guanylate cyclase 2D, retinal [Source:HGNC Symbol;Acc:HGNC:4689]	5243	0.23060397803783417	0.4044709	No	
row_49	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	5249	0.23004497587680817	0.4094637	No	
row_50	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	5264	0.22935013473033905	0.41412216	No	
row_51	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	5716	0.21418185532093048	0.40296304	No	
row_52	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	6029	0.2031709998846054	0.39647928	No	
row_53	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	6107	0.1997414380311966	0.39824113	No	
row_54	FDXR	ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]	6130	0.1987847238779068	0.40192938	No	
row_55	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	6232	0.19468346238136292	0.40272757	No	
row_56	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	6568	0.1874944120645523	0.39507693	No	
row_57	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	6769	0.18383173644542694	0.3921251	No	
row_58	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	7046	0.17596273124217987	0.38630486	No	
row_59	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	7289	0.16913241147994995	0.3815352	No	
row_60	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	7768	0.16118264198303223	0.3682288	No	
row_61	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	7815	0.1588350534439087	0.37016922	No	
row_62	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	7851	0.15747904777526855	0.37246877	No	
row_63	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	7895	0.1556730568408966	0.3744444	No	
row_64	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	8018	0.15059755742549896	0.37350813	No	
row_65	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	8076	0.14850370585918427	0.37482682	No	
row_66	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	8122	0.14597244560718536	0.3765136	No	
row_67	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	8142	0.1452220380306244	0.37910435	No	
row_68	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	8179	0.14362430572509766	0.3810571	No	
row_69	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	8471	0.13279873132705688	0.37373555	No	
row_70	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	8476	0.13264599442481995	0.3765749	No	
row_71	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	8613	0.12767106294631958	0.37462756	No	
row_72	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	8842	0.11814957112073898	0.369208	No	
row_73	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	8910	0.1160995364189148	0.36944428	No	
row_74	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	9029	0.11157269030809402	0.36777264	No	
row_75	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	9142	0.10817641019821167	0.3662372	No	
row_76	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	9393	0.10011133551597595	0.3596331	No	
row_77	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	9626	0.09163939207792282	0.35347608	No	
row_78	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	9749	0.08772221207618713	0.35112676	No	
row_79	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	9832	0.08523844182491302	0.35013828	No	
row_80	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	9984	0.079522505402565	0.34657764	No	
row_81	BMF	Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]	10273	0.06973361223936081	0.33794504	No	
row_82	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	11100	0.043331682682037354	0.3096654	No	
row_83	DNM1L	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]	11176	0.04089437425136566	0.30792826	No	
row_84	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	11190	0.0404130220413208	0.30837607	No	
row_85	MADD	MAP kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]	11633	0.027731532230973244	0.29334554	No	
row_86	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	11731	0.024469980970025063	0.29046014	No	
row_87	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	11875	0.020287683233618736	0.2858516	No	
row_88	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	12343	0.006386337801814079	0.26945597	No	
row_89	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	12362	0.006006491370499134	0.26895347	No	
row_90	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	12419	0.004716325551271439	0.26707616	No	
row_91	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	12459	0.0037230721209198236	0.26577863	No	
row_92	BCL2L2	BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]	12533	0.0016310110222548246	0.26322994	No	
row_93	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	12639	-0.001659204950556159	0.25954854	No	
row_94	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	12643	-0.0017859425861388445	0.25948244	No	
row_95	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	12678	-0.002886771224439144	0.2583432	No	
row_96	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	13093	-0.013872803188860416	0.24399282	No	
row_97	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	13158	-0.015979956835508347	0.24208534	No	
row_98	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	13467	-0.024871354922652245	0.23173621	No	
row_99	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	13586	-0.0283095333725214	0.22819337	No	
row_100	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	13618	-0.02921099215745926	0.22775196	No	
row_101	IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	13630	-0.029546786099672318	0.22802639	No	
row_102	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	14256	-0.04595419391989708	0.20692427	No	
row_103	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	14260	-0.04615652933716774	0.20785533	No	
row_104	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	14723	-0.05971261113882065	0.19283518	No	
row_105	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	14856	-0.06359390914440155	0.18958947	No	
row_106	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	14894	-0.06457611173391342	0.18973033	No	
row_107	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	14993	-0.06735590100288391	0.1877733	No	
row_108	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	15057	-0.06910530477762222	0.18709515	No	
row_109	ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	15193	-0.07286117970943451	0.18395145	No	
row_110	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	15520	-0.0828511193394661	0.17426786	No	
row_111	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	15800	-0.09005124121904373	0.16641062	No	
row_112	CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	16053	-0.09686809778213501	0.1596628	No	
