NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	10	1.3656831979751587	0.021773633	Yes	
row_1	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	13	1.329020380973816	0.043236945	Yes	
row_2	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	58	1.0456310510635376	0.0586189	Yes	
row_3	FCN1	ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]	76	1.0009900331497192	0.07423511	Yes	
row_4	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	79	0.9968228340148926	0.0903158	Yes	
row_5	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	86	0.9786123633384705	0.10595955	Yes	
row_6	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	92	0.9667132496833801	0.12144596	Yes	
row_7	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	95	0.9531129002571106	0.13681841	Yes	
row_8	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	210	0.8298792839050293	0.14622189	Yes	
row_9	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	225	0.8120447993278503	0.158883	Yes	
row_10	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	284	0.7705978155136108	0.16931204	Yes	
row_11	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	342	0.7378244400024414	0.17924553	Yes	
row_12	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	381	0.7146223187446594	0.1894769	Yes	
row_13	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	394	0.7110720872879028	0.20057288	Yes	
row_14	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	425	0.6990312933921814	0.21083537	Yes	
row_15	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	433	0.6959846019744873	0.22186422	Yes	
row_16	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	439	0.6934508085250854	0.23292294	Yes	
row_17	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	452	0.6898419857025146	0.24367492	Yes	
row_18	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	461	0.6870517730712891	0.25452355	Yes	
row_19	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	478	0.6774468421936035	0.26493284	Yes	
row_20	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	498	0.669076681137085	0.27510008	Yes	
row_21	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	506	0.6663863062858582	0.28564936	Yes	
row_22	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	513	0.6639753580093384	0.296195	Yes	
row_23	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	566	0.6479402780532837	0.30484942	Yes	
row_24	MSRB1	methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]	612	0.6339472532272339	0.31352535	Yes	
row_25	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	617	0.6318874955177307	0.32362202	Yes	
row_26	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	623	0.6306055784225464	0.33366245	Yes	
row_27	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	657	0.6187642216682434	0.34251797	Yes	
row_28	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	664	0.6165429353713989	0.35229507	Yes	
row_29	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	673	0.6140287518501282	0.3619605	Yes	
row_30	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	687	0.6096276640892029	0.37137732	Yes	
row_31	CASP5	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]	720	0.5997979044914246	0.37996098	Yes	
row_32	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	732	0.5980805158615112	0.3892616	Yes	
row_33	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	758	0.5919685959815979	0.39796668	Yes	
row_34	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	801	0.5812645554542542	0.40589538	Yes	
row_35	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	828	0.5753816962242126	0.41429624	Yes	
row_36	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	855	0.5713625550270081	0.42263195	Yes	
row_37	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	874	0.5669256448745728	0.43117952	Yes	
row_38	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	945	0.550531268119812	0.4376172	Yes	
row_39	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	1033	0.5334417819976807	0.44317508	Yes	
row_40	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	1367	0.47930195927619934	0.43913105	Yes	
row_41	DGKH	diacylglycerol kinase eta [Source:HGNC Symbol;Acc:HGNC:2854]	1402	0.47353076934814453	0.4455979	Yes	
