NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	5	1.481978178024292	0.026885029	Yes	
row_1	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	13	1.329020380973816	0.05090598	Yes	
row_2	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	28	1.1486340761184692	0.07138468	Yes	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	41	1.096213936805725	0.09097706	Yes	
row_4	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.10823567	Yes	
row_5	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	74	1.002806305885315	0.12654787	Yes	
row_6	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	172	0.8605770468711853	0.1388231	Yes	
row_7	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	234	0.802857518196106	0.15132093	Yes	
row_8	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	416	0.7029261589050293	0.1577386	Yes	
row_9	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	438	0.693875253200531	0.16966474	Yes	
row_10	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	458	0.6872352957725525	0.18154055	Yes	
row_11	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	489	0.6752430200576782	0.1928073	Yes	
row_12	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	491	0.672667920589447	0.2050554	Yes	
row_13	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	497	0.6702436804771423	0.21711738	Yes	
row_14	CAVIN3	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	543	0.6561383605003357	0.22750334	Yes	
row_15	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	564	0.6502264738082886	0.23866789	Yes	
row_16	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	678	0.6129769086837769	0.24585433	Yes	
row_17	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	728	0.598729133605957	0.25505012	Yes	
row_18	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	821	0.5767756700515747	0.26232016	Yes	
