NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	35	1.1233478784561157	0.019940203	Yes	
row_1	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	68	1.0211714506149292	0.038060196	Yes	
row_2	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	125	0.9064008593559265	0.05316489	Yes	
row_3	RNH1	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	126	0.9051626920700073	0.0702324	Yes	
row_4	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	172	0.8605770468711853	0.08486319	Yes	
row_5	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	314	0.7530214190483093	0.094061084	Yes	
row_6	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	383	0.7142737507820129	0.10511747	Yes	
row_7	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	433	0.6959846019744873	0.11650288	Yes	
row_8	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.12802692	Yes	
row_9	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	491	0.672667920589447	0.14003669	Yes	
row_10	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	538	0.6568423509597778	0.15079044	Yes	
row_11	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	540	0.6566317677497864	0.16313626	Yes	
row_12	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	549	0.6544191837310791	0.17519207	Yes	
row_13	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	593	0.6399997472763062	0.18573466	Yes	
row_14	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	651	0.619637131690979	0.19539674	Yes	
row_15	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	688	0.609169602394104	0.20560625	Yes	
row_16	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	703	0.6044852137565613	0.21650773	Yes	
row_17	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	727	0.5988149642944336	0.22698309	Yes	
row_18	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	808	0.5804692506790161	0.23509088	Yes	
row_19	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	839	0.5736286044120789	0.24484305	Yes	
row_20	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	843	0.5733124613761902	0.25554687	Yes	
row_21	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	925	0.5542269945144653	0.2631244	Yes	
row_22	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	944	0.5507965683937073	0.27287167	Yes	
row_23	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	968	0.5464214086532593	0.2823591	Yes	
row_24	SLC39A8	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	1041	0.5324915051460266	0.28984597	Yes	
row_25	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	1093	0.5227993726730347	0.29789492	Yes	
row_26	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	1143	0.513311505317688	0.30583587	Yes	
row_27	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	1164	0.5096734166145325	0.3147368	Yes	
row_28	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	1223	0.49886354804039	0.32208616	Yes	
row_29	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	1242	0.49626222252845764	0.33080512	Yes	
row_30	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	1410	0.4720500409603119	0.33378294	Yes	
row_31	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	1636	0.44333311915397644	0.33416218	Yes	
