NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	12	1.3427228927612305	0.024521943	Yes	
row_1	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	13	1.329020380973816	0.04921471	Yes	
row_2	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	97	0.9507949352264404	0.063937746	Yes	
row_3	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	98	0.9427409768104553	0.08145356	Yes	
row_4	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	102	0.9340207576751709	0.098701015	Yes	
row_5	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	185	0.8471583127975464	0.11153396	Yes	
row_6	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	205	0.8318812847137451	0.12631649	Yes	
row_7	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	220	0.8160256743431091	0.14098166	Yes	
row_8	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	253	0.7929843664169312	0.15458062	Yes	
row_9	GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	304	0.7556949853897095	0.16684864	Yes	
row_10	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	309	0.7546647191047668	0.18072826	Yes	
row_11	LAT2	linker for activation of T cells family member 2 [Source:HGNC Symbol;Acc:HGNC:12749]	336	0.7421630620956421	0.19359569	Yes	
row_12	ADGRA2	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]	372	0.7224540114402771	0.20577787	Yes	
row_13	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	373	0.7204309701919556	0.21916324	Yes	
row_14	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	422	0.7001813650131226	0.23047073	Yes	
row_15	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	425	0.6990312933921814	0.24338761	Yes	
row_16	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	463	0.6839165687561035	0.2547829	Yes	
row_17	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	513	0.6639753580093384	0.26538223	Yes	
row_18	RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	645	0.6207101941108704	0.27227074	Yes	
row_19	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	712	0.6023054718971252	0.2811216	Yes	
row_20	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	828	0.5753816962242126	0.28773516	Yes	
row_21	TMEM176B	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	1133	0.514271080493927	0.28651306	Yes	
row_22	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	1143	0.513311505317688	0.2957312	Yes	
row_23	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	1208	0.5013647079467773	0.3027775	Yes	
row_24	CD37	CD37 molecule [Source:HGNC Symbol;Acc:HGNC:1666]	1217	0.4997134804725647	0.31177843	Yes	
row_25	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	1227	0.49834465980529785	0.32071844	Yes	
row_26	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	1293	0.4898551106452942	0.32751548	Yes	
row_27	FCER1G	Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	1622	0.4449928402900696	0.3241554	Yes	
row_28	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	1870	0.419866144657135	0.3232	Yes	
row_29	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1922	0.41513076424598694	0.329105	Yes	
row_30	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	2005	0.4078400135040283	0.33377555	Yes	
row_31	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	2037	0.40595823526382446	0.34021914	Yes	
row_32	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	2214	0.3900102376937866	0.34122604	Yes	
row_33	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2222	0.38948535919189453	0.3482144	Yes	
row_34	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	2244	0.38796934485435486	0.35467827	Yes	
row_35	PRKG2	protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]	2481	0.3673362135887146	0.35313684	Yes	
row_36	MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	2795	0.3443136215209961	0.34843794	Yes	
row_37	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	3084	0.32674795389175415	0.34429893	Yes	
row_38	NR1H4	nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967]	3095	0.325724720954895	0.34999627	Yes	
row_39	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	3180	0.32158613204956055	0.35299337	Yes	
row_40	ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	3296	0.3166239857673645	0.35479927	Yes	
row_41	CDADC1	cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20299]	3354	0.314273864030838	0.3586177	Yes	
row_42	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	3374	0.31356728076934814	0.3637701	Yes	
row_43	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	3768	0.29303109645843506	0.3552823	Yes	
row_44	ADAMDEC1	ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]	3848	0.28920865058898926	0.35785508	Yes	
row_45	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	3979	0.28287288546562195	0.35850215	Yes	
row_46	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	4014	0.28171679377555847	0.362531	Yes	
row_47	TSPAN7	tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854]	4147	0.275789737701416	0.36297557	Yes	
row_48	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	4230	0.270997554063797	0.36510363	Yes	
row_49	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	4281	0.26881587505340576	0.36832562	Yes	
row_50	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	4424	0.26293301582336426	0.3681768	Yes	
row_51	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	4440	0.26212191581726074	0.37251517	Yes	
