NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	16	1.2560443878173828	0.025981987	Yes	
row_1	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.045245677	Yes	
row_2	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	74	1.002806305885315	0.06644227	Yes	
row_3	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	89	0.9709486961364746	0.08646904	Yes	
row_4	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	97	0.9507949352264404	0.106318034	Yes	
row_5	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	255	0.7909669280052185	0.11746955	Yes	
row_6	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	264	0.7844880819320679	0.1337678	Yes	
row_7	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	332	0.744628369808197	0.14713134	Yes	
row_8	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	368	0.7239489555358887	0.16119252	Yes	
row_9	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	373	0.7204309701919556	0.17627862	Yes	
row_10	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	419	0.7017406225204468	0.18951577	Yes	
row_11	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	421	0.7003425359725952	0.20428365	Yes	
row_12	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	459	0.6871137022972107	0.2174953	Yes	
row_13	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	540	0.6566317677497864	0.22853784	Yes	
row_14	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	605	0.6360108852386475	0.23971188	Yes	
row_15	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	640	0.6236587166786194	0.25168866	Yes	
row_16	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	660	0.6182618141174316	0.26408327	Yes	
row_17	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	686	0.6096848845481873	0.27608383	Yes	
row_18	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	732	0.5980805158615112	0.28712988	Yes	
row_19	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	737	0.5971837043762207	0.29961088	Yes	
row_20	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	873	0.5669877529144287	0.3068082	Yes	
row_21	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	921	0.5562009811401367	0.31689814	Yes	
row_22	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	1070	0.5261046290397644	0.32277033	Yes	
row_23	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	1091	0.5233166217803955	0.33312258	Yes	
row_24	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	1225	0.4988225996494293	0.33895004	Yes	
row_25	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	1284	0.4908891022205353	0.34726936	Yes	
row_26	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	1400	0.4743003249168396	0.35321677	Yes	
row_27	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	1474	0.46289992332458496	0.36041257	Yes	
row_28	STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]	1772	0.42975902557373047	0.3589646	Yes	
row_29	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	1867	0.4200889468193054	0.36451077	Yes	
row_30	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	1874	0.4193499684333801	0.37316194	Yes	
row_31	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	1985	0.4100680649280548	0.37792894	Yes	
row_32	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2080	0.40223878622055054	0.38309786	Yes	
row_33	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	2435	0.37085503339767456	0.37838352	Yes	
row_34	TAX1BP3	Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684]	2565	0.3621046245098114	0.38146296	Yes	
row_35	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	2649	0.35572633147239685	0.38603878	Yes	
row_36	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2782	0.34553682804107666	0.38866165	Yes	
row_37	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	2951	0.3341067135334015	0.3897663	Yes	
row_38	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	3110	0.32494738698005676	0.39103198	Yes	
row_39	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	3154	0.32288432121276855	0.39633206	Yes	
row_40	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	3185	0.3213033080101013	0.4020597	Yes	
row_41	MAPKAPK3	MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	3203	0.3205435276031494	0.40823227	Yes	
row_42	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	3299	0.3164248466491699	0.41155186	Yes	
row_43	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	3398	0.31235891580581665	0.41467908	Yes	
row_44	H2AC25	H2A clustered histone 25 [Source:HGNC Symbol;Acc:HGNC:20507]	3530	0.30529993772506714	0.41648692	Yes	
row_45	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	3544	0.3044484853744507	0.42246112	Yes	
row_46	CSRNP2	cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]	3672	0.29760468006134033	0.42424813	Yes	
row_47	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	3923	0.28567561507225037	0.4214213	No	
row_48	PRMT2	protein arginine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:5186]	4136	0.2764943838119507	0.41974792	No	
row_49	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	4670	0.2533993422985077	0.40620336	No	
row_50	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	4751	0.2497922033071518	0.40864643	No	
row_51	AEN	apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]	5199	0.23261511325836182	0.3977122	No	
row_52	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	5228	0.23134353756904602	0.40160927	No	
row_53	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5405	0.2257995307445526	0.4001409	No	
row_54	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	5922	0.20485951006412506	0.38617322	No	
