NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.022592407	Yes	
row_1	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.046750914	Yes	
row_2	SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	94	0.9542522430419922	0.069209546	Yes	
row_3	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	101	0.935763955116272	0.091715075	Yes	
row_4	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	114	0.9208012223243713	0.11364488	Yes	
row_5	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	303	0.7557880878448486	0.1253363	Yes	
row_6	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	365	0.7252557277679443	0.14078362	Yes	
row_7	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	387	0.7130461931228638	0.15735097	Yes	
row_8	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	437	0.6946592926979065	0.17248042	Yes	
row_9	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.18783912	Yes	
row_10	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	474	0.6797211170196533	0.20427023	Yes	
row_11	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	548	0.6546094417572021	0.21757752	Yes	
row_12	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	591	0.6409779787063599	0.23165159	Yes	
row_13	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	605	0.6360108852386475	0.246632	Yes	
row_14	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	660	0.6182618141174316	0.25972965	Yes	
row_15	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	734	0.5978249311447144	0.27165836	Yes	
row_16	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	742	0.5966097712516785	0.28589466	Yes	
row_17	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	801	0.5812645554542542	0.2979525	Yes	
row_18	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	874	0.5669256448745728	0.30916643	Yes	
row_19	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	944	0.5507965683937073	0.32009506	Yes	
row_20	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	1037	0.5330774784088135	0.32977906	Yes	
row_21	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	1134	0.514151394367218	0.3388619	Yes	
row_22	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	1363	0.4799825847148895	0.34244102	Yes	
row_23	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	1531	0.45550331473350525	0.34758592	Yes	
row_24	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	1698	0.43748044967651367	0.35232866	Yes	
row_25	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1749	0.4327057898044586	0.36106312	Yes	
row_26	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1905	0.4162857234477997	0.3656808	Yes	
row_27	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	2131	0.3976401388645172	0.3673671	Yes	
row_28	CLTB	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	2161	0.3953108787536621	0.37593734	Yes	
row_29	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	2362	0.3765721321105957	0.37799743	Yes	
row_30	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2680	0.35354283452033997	0.37535533	Yes	
row_31	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	2702	0.35215887427330017	0.38316125	Yes	
row_32	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2735	0.34915435314178467	0.3905047	Yes	
row_33	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	2767	0.3467442989349365	0.39782503	Yes	
row_34	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	3277	0.3173479437828064	0.38750535	Yes	
row_35	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	3281	0.31713974475860596	0.39509848	Yes	
row_36	FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	3376	0.3134661912918091	0.39938006	Yes	
row_37	KLHDC3	kelch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20704]	3600	0.30132144689559937	0.39879876	Yes	
row_38	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	3673	0.29760104417800903	0.4034742	Yes	
row_39	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	3728	0.2948842942714691	0.40872106	Yes	
row_40	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	3752	0.2938811480998993	0.41504133	Yes	
row_41	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3793	0.29209524393081665	0.42071623	Yes	
row_42	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	3885	0.2873951494693756	0.42447108	Yes	
row_43	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	3948	0.2847025990486145	0.42918748	Yes	
row_44	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	3995	0.28224998712539673	0.4344109	Yes	
row_45	LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	4243	0.2705097198486328	0.43223175	Yes	
row_46	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	4285	0.26853203773498535	0.4372992	Yes	
row_47	SPR	sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257]	4418	0.2632967531681061	0.43901715	Yes	
row_48	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	4531	0.2580729126930237	0.4413165	Yes	
row_49	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	4667	0.25352463126182556	0.442691	Yes	
