NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	193	0.58589137	2.253177	0.0	0.0	0.0	4740	tags=47%, list=17%, signal=56%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	0.6140389	2.2012541	0.0	0.0	0.0	3511	tags=40%, list=12%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	199	0.5521151	2.1557572	0.0	0.0	0.0	3752	tags=38%, list=13%, signal=43%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	199	0.6478018	2.1445985	0.0	0.0	0.0	3166	tags=40%, list=11%, signal=45%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	198	0.4892233	2.0261197	0.0	0.0024795004	0.009	2864	tags=29%, list=10%, signal=32%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	0.66107756	2.0119143	0.0	0.0026522987	0.01	3201	tags=44%, list=11%, signal=50%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	158	0.4395066	1.9831964	0.0	0.0030513846	0.012	3956	tags=30%, list=14%, signal=34%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	194	0.42424813	1.9752439	0.0	0.0028554453	0.013	3672	tags=24%, list=13%, signal=28%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	154	0.442691	1.9327881	0.0	0.0052312748	0.026	4667	tags=32%, list=16%, signal=39%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	194	0.43539616	1.9318432	0.0	0.0048998133	0.026	4640	tags=32%, list=16%, signal=38%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	194	0.4173617	1.9315244	0.0	0.0044543757	0.026	5113	tags=35%, list=18%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.42938805	1.8793632	0.0	0.0073787747	0.04	2829	tags=26%, list=10%, signal=28%	
