NAME	TITLE	SCORE	
CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	1.9336799	
FCGR1A	Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	1.9109654	
FCGR1BP	Fc gamma receptor Ib, pseudogene [Source:HGNC Symbol;Acc:HGNC:3614]	1.9097435	
PRRG4	proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]	1.4891722	
SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	1.4820656	
DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	1.4819782	
TMEM150B	transmembrane protein 150B [Source:HGNC Symbol;Acc:HGNC:34415]	1.425123	
ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	1.4155611	
ELK1	ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321]	1.4068165	
GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	1.3683888	
CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	1.3656832	
ZNF467	zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]	1.3438762	
TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	1.3427229	
PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1.3290204	
SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	1.304448	
IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	1.2660458	
PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	1.2560444	
SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	1.2411563	
CYTL1	cytokine like 1 [Source:HGNC Symbol;Acc:HGNC:24435]	1.2386397	
LILRB3	leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]	1.2154167	
TMEM121B	transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]	1.2122647	
DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	1.1973177	
MFSD14B	major facilitator superfamily domain containing 14B [Source:HGNC Symbol;Acc:HGNC:23376]	1.1913445	
LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	1.1868023	
CEBPD	CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]	1.1802425	
APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]	1.1710773	
GLT1D1	glycosyltransferase 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26483]	1.1689738	
TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	1.1570619	
ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	1.1486341	
HDAC10	histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128]	1.1473004	
IRF2BPL	interferon regulatory factor 2 binding protein like [Source:HGNC Symbol;Acc:HGNC:14282]	1.1451343	
MARVELD1	MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674]	1.1432464	
ATP6V1E1P3	ATPase H+ transporting V1 subunit E1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:858]	1.1426114	
