"ensembl"	"symbol"	"cell_type"
"ENSG00000168081"	"PNOC"	"B"
"ENSG00000133740"	"E2F5"	"B"
"ENSG00000204257"	"HLA-DMA"	"B"
"ENSG00000144645"	"OSBPL10"	"B"
"ENSG00000128322"	"IGLL1"	"B"
"ENSG00000119866"	"BCL11A"	"B"
"ENSG00000091972"	"CD200"	"B"
"ENSG00000163568"	"AIM2"	"B"
"ENSG00000110777"	"POU2AF1"	"B"
"ENSG00000182240"	"BACE2"	"B"
"ENSG00000137101"	"CD72"	"B"
"ENSG00000205302"	"SNX2"	"B"
"ENSG00000110987"	"BCL7A"	"B"
"ENSG00000008853"	"RHOBTB2"	"B"
"ENSG00000117394"	"SLC2A1"	"B"
"ENSG00000172270"	"BSG"	"B"
"ENSG00000153064"	"BANK1"	"B"
"ENSG00000211677"	"IGLC2"	"B"
"ENSG00000177455"	"CD19"	"B"
"ENSG00000081189"	"MEF2C"	"B"
"ENSG00000095585"	"BLNK"	"B"
"ENSG00000171067"	"C11orf24"	"B"
"ENSG00000158517"	"NCF1"	"B"
"ENSG00000133789"	"SWAP70"	"B"
"ENSG00000117322"	"CR2"	"B"
"ENSG00000177731"	"FLII"	"B"
"ENSG00000165209"	"STRBP"	"B"
"ENSG00000211898"	"IGHD"	"B"
"ENSG00000171132"	"PRKCE"	"B"
"ENSG00000197705"	"KLHL14"	"B"
"ENSG00000211897"	"IGHG3"	"B"
"ENSG00000142583"	"SLC2A5"	"B"
"ENSG00000128218"	"VPREB3"	"B"
"ENSG00000141867"	"BRD4"	"B"
"ENSG00000086300"	"SNX10"	"B"
"ENSG00000196628"	"TCF4"	"B"
"ENSG00000042980"	"ADAM28"	"B"
"ENSG00000241106"	"HLA-DOB"	"B"
"ENSG00000150093"	"ITGB1"	"B"
"ENSG00000152804"	"HHEX"	"B"
"ENSG00000079950"	"STX7"	"B"
"ENSG00000066923"	"STAG3"	"B"
"ENSG00000103647"	"CORO2B"	"B"
"ENSG00000242574"	"HLA-DMB"	"B"
"ENSG00000211592"	"IGKC"	"B"
"ENSG00000147889"	"CDKN2A"	"B"
"ENSG00000120738"	"EGR1"	"B"
"ENSG00000211896"	"IGHG1"	"B"
"ENSG00000137265"	"IRF4"	"B"
"ENSG00000143819"	"EPHX1"	"B"
"ENSG00000196092"	"PAX5"	"B"
"ENSG00000175198"	"PCCA"	"B"
"ENSG00000100721"	"TCL1A"	"B"
"ENSG00000127074"	"RGS13"	"B"
"ENSG00000010244"	"ZNF207"	"B"
"ENSG00000135144"	"DTX1"	"B"
"ENSG00000100580"	"TMED8"	"B"
"ENSG00000211899"	"IGHM"	"B"
"ENSG00000140968"	"IRF8"	"B"
"ENSG00000085872"	"CHERP"	"B"
"ENSG00000160948"	"VPS28"	"B"
"ENSG00000152217"	"SETBP1"	"B"
"ENSG00000123096"	"SSPN"	"B"
"ENSG00000116191"	"RALGPS2"	"B"
"ENSG00000231389"	"HLA-DPA1"	"B"
"ENSG00000038382"	"TRIO"	"B"
"ENSG00000108639"	"SYNGR2"	"B"
"ENSG00000204580"	"DDR1"	"B"
"ENSG00000048462"	"TNFRSF17"	"B"
"ENSG00000171316"	"CHD7"	"B"
"ENSG00000102879"	"CORO1A"	"B"
"ENSG00000185033"	"SEMA4B"	"B"
"ENSG00000266028"	"SRGAP2"	"B"
"ENSG00000147912"	"FBXO10"	"B"
"ENSG00000182199"	"SHMT2"	"B"
"ENSG00000112799"	"LY86"	"B"
"ENSG00000166888"	"STAT6"	"B"
"ENSG00000131401"	"NAPSB"	"B"
"ENSG00000196664"	"TLR7"	"B"
"ENSG00000179750"	"APOBEC3B"	"B"
"ENSG00000139174"	"PRICKLE1"	"B"
"ENSG00000157483"	"MYO1E"	"B"
"ENSG00000115919"	"KYNU"	"B"
"ENSG00000103489"	"XYLT1"	"B"
"ENSG00000143390"	"RFX5"	"B"
"ENSG00000178445"	"GLDC"	"B"
"ENSG00000165168"	"CYBB"	"B"
"ENSG00000136193"	"SCRN1"	"B"
"ENSG00000028277"	"POU2F2"	"B"
"ENSG00000076554"	"TPD52"	"B"
"ENSG00000158481"	"CD1C"	"B"
"ENSG00000105369"	"CD79A"	"B"
"ENSG00000141030"	"COPS3"	"B"
"ENSG00000010671"	"BTK"	"B"
"ENSG00000272398"	"CD24"	"B"
"ENSG00000163251"	"FZD5"	"B"
"ENSG00000136573"	"BLK"	"B"
"ENSG00000149418"	"ST14"	"B"
"ENSG00000196743"	"GM2A"	"B"
"ENSG00000007312"	"CD79B"	"B"
"ENSG00000068724"	"TTC7A"	"B"
"ENSG00000198833"	"UBE2J1"	"B"
"ENSG00000004468"	"CD38"	"B"
"ENSG00000012124"	"CD22"	"B"
"ENSG00000149577"	"SIDT2"	"B"
"ENSG00000120008"	"WDR11"	"B"
"ENSG00000179344"	"HLA-DQB1"	"B"
"ENSG00000071205"	"ARHGAP10"	"B"
"ENSG00000143801"	"PSEN2"	"B"
"ENSG00000162734"	"PEA15"	"B"
"ENSG00000072694"	"FCGR2B"	"B"
"ENSG00000077238"	"IL4R"	"B"
"ENSG00000237541"	"HLA-DQA2"	"B"
"ENSG00000137502"	"RAB30"	"B"
"ENSG00000079263"	"SP140"	"B"
"ENSG00000234127"	"TRIM26"	"B"
"ENSG00000196735"	"HLA-DQA1"	"B"
"ENSG00000165025"	"SYK"	"B"
"ENSG00000105887"	"MTPN"	"B"
"ENSG00000173193"	"PARP14"	"B"
"ENSG00000115758"	"ODC1"	"B"
"ENSG00000146192"	"FGD2"	"B"
"ENSG00000188822"	"CNR2"	"B"
"ENSG00000168421"	"RHOH"	"B"
"ENSG00000135074"	"ADAM19"	"B"
"ENSG00000169504"	"CLIC4"	"B"
"ENSG00000187210"	"GCNT1"	"B"
"ENSG00000151748"	"SAV1"	"B"
"ENSG00000099953"	"MMP11"	"B"
"ENSG00000187955"	"COL14A1"	"B"
"ENSG00000155629"	"PIK3AP1"	"B"
"ENSG00000159128"	"IFNGR2"	"B"
"ENSG00000243466"	"IGKV1-5"	"B"
"ENSG00000147905"	"ZCCHC7"	"B"
"ENSG00000033627"	"ATP6V0A1"	"B"
"ENSG00000232629"	"HLA-DQB2"	"B"
"ENSG00000103811"	"CTSH"	"B"
"ENSG00000196126"	"HLA-DRB1"	"B"
"ENSG00000138814"	"PPP3CA"	"B"
"ENSG00000100577"	"GSTZ1"	"B"
"ENSG00000173801"	"JUP"	"B"
"ENSG00000112561"	"TFEB"	"B"
"ENSG00000205413"	"SAMD9"	"B"
"ENSG00000172216"	"CEBPB"	"B"
"ENSG00000197943"	"PLCG2"	"B"
"ENSG00000175482"	"POLD4"	"B"
"ENSG00000133056"	"PIK3C2B"	"B"
"ENSG00000044574"	"HSPA5"	"B"
"ENSG00000204252"	"HLA-DOA"	"B"
"ENSG00000101057"	"MYBL2"	"B"
"ENSG00000105374"	"NKG7"	"B"
"ENSG00000146232"	"NFKBIE"	"B"
"ENSG00000188690"	"UROS"	"B"
"ENSG00000198502"	"HLA-DRB5"	"B"
"ENSG00000223865"	"HLA-DPB1"	"B"
"ENSG00000165458"	"INPPL1"	"B"
"ENSG00000203710"	"CR1"	"B"
"ENSG00000186265"	"BTLA"	"B"
"ENSG00000269404"	"SPIB"	"B"
"ENSG00000163947"	"ARHGEF3"	"B"
"ENSG00000196975"	"ANXA4"	"B"
"ENSG00000165949"	"IFI27"	"B"
"ENSG00000174123"	"TLR10"	"B"
"ENSG00000074219"	"TEAD2"	"B"
"ENSG00000114395"	"CYB561D2"	"B"
"ENSG00000131370"	"SH3BP5"	"B"
"ENSG00000166483"	"WEE1"	"B"
"ENSG00000146477"	"SLC22A3"	"B"
"ENSG00000019582"	"CD74"	"B"
"ENSG00000198382"	"UVRAG"	"B"
"ENSG00000156110"	"ADK"	"B"
"ENSG00000107968"	"MAP3K8"	"B"
"ENSG00000012779"	"ALOX5"	"B"
"ENSG00000142459"	"EVI5L"	"B"
"ENSG00000133818"	"RRAS2"	"B"
"ENSG00000135116"	"HRK"	"B"
"ENSG00000119917"	"IFIT3"	"B"
"ENSG00000023445"	"BIRC3"	"B"
"ENSG00000198734"	"F5"	"B"
"ENSG00000175895"	"PLEKHF2"	"B"
"ENSG00000254087"	"LYN"	"B"
"ENSG00000112149"	"CD83"	"B"
"ENSG00000170873"	"MTSS1"	"B"
"ENSG00000066336"	"SPI1"	"B"
"ENSG00000150995"	"ITPR1"	"B"
"ENSG00000079819"	"EPB41L2"	"B"
"ENSG00000173198"	"CYSLTR1"	"B"
"ENSG00000159461"	"AMFR"	"B"
"ENSG00000138764"	"CCNG2"	"B"
"ENSG00000169413"	"RNASE6"	"B"
"ENSG00000158473"	"CD1D"	"B"
"ENSG00000070190"	"DAPP1"	"B"
"ENSG00000138411"	"HECW2"	"B"
"ENSG00000172869"	"DMXL1"	"B"
"ENSG00000176014"	"TUBB6"	"B"
"ENSG00000163013"	"FBXO41"	"B"
"ENSG00000166949"	"SMAD3"	"B"
"ENSG00000108559"	"NUP88"	"B"
"ENSG00000104081"	"BMF"	"B"
"ENSG00000110880"	"CORO1C"	"B"
"ENSG00000165810"	"BTNL9"	"B"
"ENSG00000162613"	"FUBP1"	"B"
"ENSG00000114013"	"CD86"	"B"
"ENSG00000204287"	"HLA-DRA"	"B"
"ENSG00000065882"	"TBC1D1"	"B"
"ENSG00000168961"	"LGALS9"	"B"
"ENSG00000105610"	"KLF1"	"B"
"ENSG00000101160"	"CTSZ"	"B"
