Gene	Symbol	Type
ENSG00000132676	DAP3	Mitochondrial Ribosomal
ENSG00000103642	LACTB	Mitochondrial Ribosomal
ENSG00000169288	MRPL1	Mitochondrial Ribosomal
ENSG00000159111	MRPL10	Mitochondrial Ribosomal
ENSG00000174547	MRPL11	Mitochondrial Ribosomal
ENSG00000262814	MRPL12	Mitochondrial Ribosomal
ENSG00000172172	MRPL13	Mitochondrial Ribosomal
ENSG00000180992	MRPL14	Mitochondrial Ribosomal
ENSG00000137547	MRPL15	Mitochondrial Ribosomal
ENSG00000166902	MRPL16	Mitochondrial Ribosomal
ENSG00000158042	MRPL17	Mitochondrial Ribosomal
ENSG00000112110	MRPL18	Mitochondrial Ribosomal
ENSG00000115364	MRPL19	Mitochondrial Ribosomal
ENSG00000112651	MRPL2	Mitochondrial Ribosomal
ENSG00000242485	MRPL20	Mitochondrial Ribosomal
ENSG00000197345	MRPL21	Mitochondrial Ribosomal
ENSG00000082515	MRPL22	Mitochondrial Ribosomal
ENSG00000214026	MRPL23	Mitochondrial Ribosomal
ENSG00000143314	MRPL24	Mitochondrial Ribosomal
ENSG00000108826	MRPL27	Mitochondrial Ribosomal
ENSG00000086504	MRPL28	Mitochondrial Ribosomal
ENSG00000114686	MRPL3	Mitochondrial Ribosomal
ENSG00000185414	MRPL30	Mitochondrial Ribosomal
ENSG00000106591	MRPL32	Mitochondrial Ribosomal
ENSG00000243147	MRPL33	Mitochondrial Ribosomal
ENSG00000130312	MRPL34	Mitochondrial Ribosomal
ENSG00000132313	MRPL35	Mitochondrial Ribosomal
ENSG00000171421	MRPL36	Mitochondrial Ribosomal
ENSG00000116221	MRPL37	Mitochondrial Ribosomal
ENSG00000204316	MRPL38	Mitochondrial Ribosomal
ENSG00000154719	MRPL39	Mitochondrial Ribosomal
ENSG00000105364	MRPL4	Mitochondrial Ribosomal
ENSG00000185608	MRPL40	Mitochondrial Ribosomal
ENSG00000182154	MRPL41	Mitochondrial Ribosomal
ENSG00000198015	MRPL42	Mitochondrial Ribosomal
ENSG00000055950	MRPL43	Mitochondrial Ribosomal
ENSG00000135900	MRPL44	Mitochondrial Ribosomal
ENSG00000278845	MRPL45	Mitochondrial Ribosomal
ENSG00000259494	MRPL46	Mitochondrial Ribosomal
ENSG00000136522	MRPL47	Mitochondrial Ribosomal
ENSG00000175581	MRPL48	Mitochondrial Ribosomal
ENSG00000149792	MRPL49	Mitochondrial Ribosomal
ENSG00000136897	MRPL50	Mitochondrial Ribosomal
ENSG00000111639	MRPL51	Mitochondrial Ribosomal
ENSG00000172590	MRPL52	Mitochondrial Ribosomal
ENSG00000204822	MRPL53	Mitochondrial Ribosomal
ENSG00000183617	MRPL54	Mitochondrial Ribosomal
ENSG00000162910	MRPL55	Mitochondrial Ribosomal
ENSG00000173141	MRPL57	Mitochondrial Ribosomal
ENSG00000143436	MRPL9	Mitochondrial Ribosomal
ENSG00000048544	MRPS10	Mitochondrial Ribosomal
ENSG00000181991	MRPS11	Mitochondrial Ribosomal
ENSG00000128626	MRPS12	Mitochondrial Ribosomal
ENSG00000120333	MRPS14	Mitochondrial Ribosomal
ENSG00000116898	MRPS15	Mitochondrial Ribosomal
ENSG00000182180	MRPS16	Mitochondrial Ribosomal
ENSG00000239789	MRPS17	Mitochondrial Ribosomal
ENSG00000096080	MRPS18A	Mitochondrial Ribosomal
ENSG00000204568	MRPS18B	Mitochondrial Ribosomal
ENSG00000163319	MRPS18C	Mitochondrial Ribosomal
ENSG00000122140	MRPS2	Mitochondrial Ribosomal
ENSG00000266472	MRPS21	Mitochondrial Ribosomal
ENSG00000175110	MRPS22	Mitochondrial Ribosomal
ENSG00000181610	MRPS23	Mitochondrial Ribosomal
ENSG00000062582	MRPS24	Mitochondrial Ribosomal
ENSG00000131368	MRPS25	Mitochondrial Ribosomal
ENSG00000125901	MRPS26	Mitochondrial Ribosomal
ENSG00000113048	MRPS27	Mitochondrial Ribosomal
ENSG00000147586	MRPS28	Mitochondrial Ribosomal
ENSG00000112996	MRPS30	Mitochondrial Ribosomal
ENSG00000102738	MRPS31	Mitochondrial Ribosomal
ENSG00000090263	MRPS33	Mitochondrial Ribosomal
ENSG00000074071	MRPS34	Mitochondrial Ribosomal
ENSG00000061794	MRPS35	Mitochondrial Ribosomal
ENSG00000134056	MRPS36	Mitochondrial Ribosomal
ENSG00000144029	MRPS5	Mitochondrial Ribosomal
ENSG00000243927	MRPS6	Mitochondrial Ribosomal
ENSG00000125445	MRPS7	Mitochondrial Ribosomal
ENSG00000135972	MRPS9	Mitochondrial Ribosomal
ENSG00000211459	MT-RNR1	Mitochondrial Ribosomal
ENSG00000210082	MT-RNR2	Mitochondrial Ribosomal
