NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	166	0.8657358288764954	0.05013642	Yes	
row_1	LRP3	LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]	237	0.8017541766166687	0.09952438	Yes	
row_2	H4C8	H4 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4788]	1458	0.4654427766799927	0.08654849	Yes	
row_3	C2orf42	chromosome 2 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:26056]	2013	0.4073062837123871	0.09333077	Yes	
row_4	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	2042	0.4057004153728485	0.11858393	Yes	
row_5	RNASE11	ribonuclease A family member 11 (inactive) [Source:HGNC Symbol;Acc:HGNC:19269]	2043	0.4056701958179474	0.14482391	Yes	
row_6	HCFC1	host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]	2082	0.4017546772956848	0.16946872	Yes	
row_7	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	2342	0.37883633375167847	0.18482687	Yes	
row_8	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	2616	0.3579981029033661	0.19834276	Yes	
row_9	DPP9	dipeptidyl peptidase 9 [Source:HGNC Symbol;Acc:HGNC:18648]	2819	0.3429255783557892	0.21339095	Yes	
row_10	LINC02739	long intergenic non-protein coding RNA 2739 [Source:HGNC Symbol;Acc:HGNC:54256]	2893	0.33770322799682617	0.23265675	Yes	
row_11	RN7SL1	RNA component of signal recognition particle 7SL1 [Source:HGNC Symbol;Acc:HGNC:10038]	3002	0.33122920989990234	0.25026783	Yes	
row_12	FMC1	formation of mitochondrial complex V assembly factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:26946]	3932	0.28512072563171387	0.23590432	Yes	
row_13	VTRNA1-3	vault RNA 1-3 [Source:HGNC Symbol;Acc:HGNC:12656]	4328	0.26707640290260315	0.2392309	Yes	
row_14	RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	4461	0.26095521450042725	0.25144893	Yes	
row_15	H3C9P	H3 clustered histone 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:18982]	4781	0.24810492992401123	0.2562322	Yes	
row_16	RNF130	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]	4817	0.2474043220281601	0.2709991	Yes	
row_17	HJV	hemojuvelin BMP co-receptor [Source:HGNC Symbol;Acc:HGNC:4887]	5677	0.214752197265625	0.25455585	Yes	
row_18	PPEF1	protein phosphatase with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:9243]	5773	0.21179082989692688	0.26490036	Yes	
row_19	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	5840	0.20871269702911377	0.27606985	Yes	
row_20	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]	5921	0.20493096113204956	0.28650036	Yes	
row_21	TRIM7-AS2	TRIM7 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56031]	6231	0.19469906389713287	0.2881823	Yes	
