Gene	Symbol	Type
ENSG00000186468	RPS23	Ribosomal S
ENSG00000138326	RPS24	Ribosomal S
ENSG00000118181	RPS25	Ribosomal S
ENSG00000197728	RPS26	Ribosomal S
ENSG00000177954	RPS27	Ribosomal S
ENSG00000143947	RPS27A	Ribosomal S
ENSG00000185088	RPS27L	Ribosomal S
ENSG00000213741	RPS29	Ribosomal S
ENSG00000149273	RPS3	Ribosomal S
ENSG00000145425	RPS3A	Ribosomal S
ENSG00000198034	RPS4X	Ribosomal S
ENSG00000129824	RPS4Y1	Ribosomal S
ENSG00000280969	RPS4Y2	Ribosomal S
ENSG00000083845	RPS5	Ribosomal S
ENSG00000137154	RPS6	Ribosomal S
ENSG00000171863	RPS7	Ribosomal S
ENSG00000142937	RPS8	Ribosomal S
ENSG00000170889	RPS9	Ribosomal S
ENSG00000233927	RPS28	Ribosomal S
ENSG00000149806	FAU	Ribosomal S
ENSG00000124614	RPS10	Ribosomal S
ENSG00000142534	RPS11	Ribosomal S
ENSG00000112306	RPS12	Ribosomal S
ENSG00000110700	RPS13	Ribosomal S
ENSG00000164587	RPS14	Ribosomal S
ENSG00000115268	RPS15	Ribosomal S
ENSG00000134419	RPS15A	Ribosomal S
ENSG00000105193	RPS16	Ribosomal S
ENSG00000182774	RPS17	Ribosomal S
ENSG00000231500	RPS18	Ribosomal S
ENSG00000105372	RPS19	Ribosomal S
ENSG00000140988	RPS2	Ribosomal S
ENSG00000008988	RPS20	Ribosomal S
ENSG00000171858	RPS21	Ribosomal S
ENSG00000147403	RPL10	Ribosomal L
ENSG00000198755	RPL10A	Ribosomal L
ENSG00000165496	RPL10L	Ribosomal L
ENSG00000142676	RPL11	Ribosomal L
ENSG00000197958	RPL12	Ribosomal L
ENSG00000142541	RPL13A	Ribosomal L
ENSG00000188846	RPL14	Ribosomal L
ENSG00000174748	RPL15	Ribosomal L
ENSG00000265681	RPL17	Ribosomal L
ENSG00000105640	RPL18A	Ribosomal L
ENSG00000108298	RPL19	Ribosomal L
ENSG00000122026	RPL21	Ribosomal L
ENSG00000116251	RPL22	Ribosomal L
ENSG00000125691	RPL23	Ribosomal L
ENSG00000198242	RPL23A	Ribosomal L
ENSG00000114391	RPL24	Ribosomal L
ENSG00000161970	RPL26	Ribosomal L
ENSG00000037241	RPL26L1	Ribosomal L
ENSG00000131469	RPL27	Ribosomal L
ENSG00000166441	RPL27A	Ribosomal L
ENSG00000108107	RPL28	Ribosomal L
ENSG00000162244	RPL29	Ribosomal L
ENSG00000100316	RPL3	Ribosomal L
ENSG00000156482	RPL30	Ribosomal L
ENSG00000071082	RPL31	Ribosomal L
ENSG00000144713	RPL32	Ribosomal L
ENSG00000109475	RPL34	Ribosomal L
ENSG00000136942	RPL35	Ribosomal L
ENSG00000182899	RPL35A	Ribosomal L
ENSG00000130255	RPL36	Ribosomal L
ENSG00000241343	RPL36A	Ribosomal L
ENSG00000165502	RPL36AL	Ribosomal L
ENSG00000145592	RPL37	Ribosomal L
ENSG00000197756	RPL37A	Ribosomal L
ENSG00000172809	RPL38	Ribosomal L
ENSG00000198918	RPL39	Ribosomal L
ENSG00000163923	RPL39L	Ribosomal L
ENSG00000140986	RPL3L	Ribosomal L
ENSG00000174444	RPL4	Ribosomal L
ENSG00000229117	RPL41	Ribosomal L
ENSG00000122406	RPL5	Ribosomal L
ENSG00000089009	RPL6	Ribosomal L
ENSG00000147604	RPL7	Ribosomal L
ENSG00000148303	RPL7A	Ribosomal L
ENSG00000146223	RPL7L1	Ribosomal L
ENSG00000161016	RPL8	Ribosomal L
ENSG00000163682	RPL9	Ribosomal L
ENSG00000089157	RPLP0	Ribosomal L
ENSG00000137818	RPLP1	Ribosomal L
ENSG00000177600	RPLP2	Ribosomal L
ENSG00000221983	UBA52	Ribosomal L
