NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	7	1.4155610799789429	0.01682013	Yes	
row_1	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	9	1.3683887720108032	0.03328416	Yes	
row_2	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	12	1.3427228927612305	0.049403276	Yes	
row_3	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	13	1.329020380973816	0.06542806	Yes	
row_4	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	17	1.2411563396453857	0.080287084	Yes	
row_5	LILRB3	leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]	19	1.215416669845581	0.094906636	Yes	
row_6	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]	25	1.1710772514343262	0.10884978	Yes	
row_7	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	27	1.1570619344711304	0.12276571	Yes	
row_8	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	38	1.105352520942688	0.13573913	Yes	
row_9	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	45	1.0867865085601807	0.14863048	Yes	
row_10	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	46	1.077505111694336	0.1616226	Yes	
row_11	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	49	1.0740607976913452	0.1745023	Yes	
row_12	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	56	1.0481491088867188	0.18692777	Yes	
row_13	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	62	1.03531813621521	0.19923398	Yes	
row_14	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	66	1.021483063697815	0.21144427	Yes	
row_15	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	74	1.002806305885315	0.22328757	Yes	
row_16	FCN1	ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]	76	1.0009900331497192	0.23532166	Yes	
row_17	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	80	0.9928036332130432	0.24718614	Yes	
row_18	SCO2	synthesis of cytochrome C oxidase 2 [Source:HGNC Symbol;Acc:HGNC:10604]	84	0.9826850295066833	0.25892863	Yes	
row_19	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	92	0.9667132496833801	0.27033672	Yes	
row_20	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	101	0.935763955116272	0.28133622	Yes	
row_21	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	105	0.9311515688896179	0.2924573	Yes	
row_22	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	113	0.921749472618103	0.30332327	Yes	
row_23	LILRB2	leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]	130	0.9011313915252686	0.31362158	Yes	
row_24	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	131	0.9004718661308289	0.3244791	Yes	
row_25	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.33455065	Yes	
row_26	LILRA5	leukocyte immunoglobulin like receptor A5 [Source:HGNC Symbol;Acc:HGNC:16309]	163	0.8680059313774109	0.34452048	Yes	
row_27	RHAG	Rh associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:10006]	182	0.8528239727020264	0.35416543	Yes	
row_28	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	197	0.8354628086090088	0.36374283	Yes	
row_29	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	198	0.8352566361427307	0.37381402	Yes	
row_30	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	205	0.8318812847137451	0.38363183	Yes	
row_31	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	235	0.8023824095726013	0.39227867	Yes	
row_32	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	255	0.7909669280052185	0.40114233	Yes	
row_33	C5AR1	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	256	0.7909632921218872	0.41067943	Yes	
row_34	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	264	0.7844880819320679	0.41989034	Yes	
row_35	PILRA	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]	277	0.7751340270042419	0.42881122	Yes	
row_36	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	309	0.7546647191047668	0.4368118	Yes	
row_37	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	381	0.7146223187446594	0.44291168	Yes	
row_38	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	395	0.7109798789024353	0.45102358	Yes	
row_39	FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	399	0.7085782885551453	0.459461	Yes	
row_40	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	452	0.6898419857025146	0.4659356	Yes	
row_41	SECTM1	secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]	475	0.6795588731765747	0.47334957	Yes	
row_42	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	535	0.657417356967926	0.47918507	Yes	
row_43	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	538	0.6568423509597778	0.4870341	Yes	
row_44	HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	581	0.6428957581520081	0.4932971	Yes	
row_45	LAPTM4B	lysosomal protein transmembrane 4 beta [Source:HGNC Symbol;Acc:HGNC:13646]	585	0.6421573162078857	0.50093365	Yes	
row_46	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	587	0.6419501304626465	0.50863856	Yes	
row_47	PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	590	0.6413637399673462	0.516301	Yes	
row_48	LILRA1	leukocyte immunoglobulin like receptor A1 [Source:HGNC Symbol;Acc:HGNC:6602]	597	0.6386393904685974	0.52378875	Yes	
row_49	SCPEP1	serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]	659	0.6186158657073975	0.5290855	Yes	
row_50	HCAR3	hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824]	672	0.6140941381454468	0.5360646	Yes	
row_51	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	732	0.5980805158615112	0.54118466	Yes	
row_52	NCF1	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]	763	0.5908563733100891	0.54724556	Yes	
row_53	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	793	0.5832319855690002	0.55324996	Yes	
row_54	CD300C	CD300c molecule [Source:HGNC Symbol;Acc:HGNC:19320]	807	0.5804723501205444	0.5597882	Yes	
row_55	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	808	0.5804692506790161	0.5667873	Yes	
row_56	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	818	0.5771859288215637	0.57342774	Yes	
row_57	CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	825	0.5756667852401733	0.5801562	Yes	
row_58	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	860	0.5696800947189331	0.58582	Yes	
row_59	CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	901	0.5607233643531799	0.5911631	Yes	
row_60	H2AC18	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	919	0.5566703081130981	0.5972726	Yes	
row_61	SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	1021	0.5379723906517029	0.6001791	Yes	
row_62	AKR1C1	aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]	1051	0.5305827260017395	0.6055487	Yes	
row_63	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	1093	0.5227993726730347	0.610399	Yes	
row_64	TMEM176B	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	1133	0.514271080493927	0.61521745	Yes	
row_65	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.62130797	Yes	
row_66	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	1143	0.513311505317688	0.62732005	Yes	
row_67	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	1164	0.5096734166145325	0.63275653	Yes	
row_68	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	1192	0.5051572918891907	0.63789046	Yes	
row_69	SMCO4	single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]	1204	0.5024967789649963	0.64355946	Yes	
row_70	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	1214	0.5005388855934143	0.6492757	Yes	
row_71	FCGR3B	Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]	1260	0.49379459023475647	0.65363455	Yes	
row_72	HOMER3	homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]	1307	0.48851919174194336	0.6578944	Yes	
row_73	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	1323	0.48548823595046997	0.6632165	Yes	
row_74	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]	1378	0.47809797525405884	0.66706705	Yes	
row_75	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	1509	0.45818397402763367	0.6679835	Yes	
row_76	CCL1	C-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10609]	1641	0.44291701912879944	0.6686804	Yes	
row_77	H2BC21	H2B clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:4760]	1709	0.4366854131221771	0.67157084	Yes	
row_78	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	1874	0.4193499684333801	0.67081386	Yes	
row_79	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	2005	0.4078400135040283	0.6711233	Yes	
row_80	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	2079	0.4022664725780487	0.67338604	Yes	
row_81	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	2147	0.3964557647705078	0.6757914	Yes	
row_82	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	2167	0.39487195014953613	0.67987907	Yes	
row_83	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	2244	0.38796934485435486	0.68186307	Yes	
row_84	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	2460	0.36947834491729736	0.67869693	Yes	
row_85	BEX3	brain expressed X-linked 3 [Source:HGNC Symbol;Acc:HGNC:13388]	2550	0.3630656599998474	0.67991984	Yes	
row_86	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	2649	0.35572633147239685	0.68073523	Yes	
row_87	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2680	0.35354283452033997	0.6839347	Yes	
row_88	SORT1	sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]	2730	0.34956544637680054	0.6864127	Yes	
row_89	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	2797	0.3442145586013794	0.6882236	Yes	
row_90	HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	2827	0.3422619700431824	0.69132245	Yes	
row_91	HOXA4	homeobox A4 [Source:HGNC Symbol;Acc:HGNC:5105]	2910	0.33680036664009094	0.6924768	Yes	
row_92	STS	steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425]	2986	0.3321302533149719	0.693823	Yes	
