NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHKBP1	SH3KBP1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19214]	290	0.7657972574234009	0.0015020716	No	
row_1	STEAP4	STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923]	339	0.7405148148536682	0.011219169	No	
row_2	PRDM7	PR/SET domain 7 [Source:HGNC Symbol;Acc:HGNC:9351]	721	0.5997037887573242	0.00692314	No	
row_3	PDE6D	phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788]	776	0.5880366563796997	0.014074616	No	
row_4	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	808	0.5804692506790161	0.021927185	No	
row_5	COQ8B	coenzyme Q8B [Source:HGNC Symbol;Acc:HGNC:19041]	987	0.5425664782524109	0.023967993	No	
row_6	OTX1	orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8521]	992	0.541765570640564	0.03218355	No	
row_7	SLC2A4	solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009]	1094	0.5226501822471619	0.036655083	No	
row_8	DACT1	dishevelled binding antagonist of beta catenin 1 [Source:HGNC Symbol;Acc:HGNC:17748]	1575	0.4508320391178131	0.026542166	No	
row_9	PDZD2	PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18486]	1678	0.4397118091583252	0.029698653	No	
row_10	OMA1	OMA1 zinc metallopeptidase [Source:HGNC Symbol;Acc:HGNC:29661]	1750	0.4322263300418854	0.033841964	No	
row_11	PELI2	pellino E3 ubiquitin protein ligase family member 2 [Source:HGNC Symbol;Acc:HGNC:8828]	1771	0.429877370595932	0.039762497	No	
row_12	LINC00158	long intergenic non-protein coding RNA 158 [Source:HGNC Symbol;Acc:HGNC:1283]	1805	0.4270055890083313	0.045176476	No	
row_13	SNX17	sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]	1924	0.4148215651512146	0.047380053	No	
row_14	AMOT	angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]	1926	0.4147278368473053	0.053742483	No	
row_15	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	2140	0.39700210094451904	0.05229314	No	
row_16	MLLT3	MLLT3 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]	2218	0.3897460401058197	0.05556776	No	
row_17	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	2234	0.3886573016643524	0.061030187	No	
row_18	RNF10	ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]	2237	0.3885182738304138	0.06695272	No	
row_19	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	2382	0.3746803402900696	0.067612536	No	
row_20	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	2622	0.3576279580593109	0.06463126	No	
row_21	WSB2	WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]	2682	0.35339775681495667	0.067985184	No	
