NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	176	0.857350766658783	0.02660846	No	
row_1	LRP10	LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]	609	0.6343196630477905	0.035632737	No	
row_2	KIFAP3	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	652	0.619530200958252	0.05786972	No	
row_3	OSR2	odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]	826	0.5755344033241272	0.07379385	No	
row_4	OTX1	orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8521]	992	0.541765570640564	0.08870767	No	
row_5	GLRX5	glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134]	1245	0.49558717012405396	0.09877962	No	
row_6	FNDC9	fibronectin type III domain containing 9 [Source:HGNC Symbol;Acc:HGNC:33547]	1419	0.47098371386528015	0.11070066	No	
row_7	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	1427	0.4701244831085205	0.1284537	No	
row_8	RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]	1764	0.43056437373161316	0.13306825	No	
row_9	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]	1889	0.4175736904144287	0.14467551	No	
row_10	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1905	0.4162857234477997	0.16008449	No	
row_11	MINK1	misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]	2473	0.36792486906051636	0.15413928	No	
row_12	NUP62CL	nucleoporin 62 C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]	2977	0.3327185809612274	0.14910722	No	
row_13	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	3673	0.29760104417800903	0.13594708	No	
row_14	GAST	gastrin [Source:HGNC Symbol;Acc:HGNC:4164]	3805	0.29151201248168945	0.14248031	No	
row_15	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	3823	0.2904607355594635	0.153001	No	
row_16	CYRIA	CYFIP related Rac1 interactor A [Source:HGNC Symbol;Acc:HGNC:25373]	3886	0.287387877702713	0.16181414	No	
row_17	TEX2	testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]	3952	0.2844182252883911	0.1704076	No	
row_18	KCNK12	potassium two pore domain channel subfamily K member 12 [Source:HGNC Symbol;Acc:HGNC:6274]	4153	0.27516502141952515	0.1738771	No	
row_19	NKAPD1	NKAP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25569]	4500	0.2597779333591461	0.17159918	No	
row_20	IL34	interleukin 34 [Source:HGNC Symbol;Acc:HGNC:28529]	4616	0.2557186782360077	0.17732723	No	
row_21	MGAT4B	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]	4659	0.25399473309516907	0.18556842	No	
row_22	SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	5234	0.23111368715763092	0.17413759	No	
row_23	PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	5803	0.21070946753025055	0.16213751	No	
row_24	CAMK1	calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]	6703	0.18446941673755646	0.13743827	No	
row_25	HPCAL1	hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]	6835	0.1810857355594635	0.13974343	No	
row_26	TBC1D16	TBC1 domain family member 16 [Source:HGNC Symbol;Acc:HGNC:28356]	7070	0.17479611933231354	0.13816874	No	
row_27	PIM2	Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]	8391	0.13576720654964447	0.09673054	No	
row_28	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	8986	0.11283290386199951	0.080064304	No	
row_29	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	9421	0.0989624634385109	0.068519905	No	
row_30	TMEM254	transmembrane protein 254 [Source:HGNC Symbol;Acc:HGNC:25804]	9808	0.08597976714372635	0.05817429	No	
row_31	INO80B	INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324]	10037	0.07796972244977951	0.053104233	No	
row_32	STAT6	signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368]	10293	0.06925887614488602	0.046746723	No	
row_33	DNAAF6	dynein axonemal assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:28570]	10480	0.0634675994515419	0.042605292	No	
row_34	MORN4	MORN repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:24001]	10489	0.06334766000509262	0.04474813	No	
row_35	HNRNPF	heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]	10660	0.05762086436152458	0.04094813	No	
row_36	RGS6	regulator of G protein signaling 6 [Source:HGNC Symbol;Acc:HGNC:10002]	10927	0.04853656142950058	0.033408556	No	
row_37	GTF3C1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	11330	0.03596340864896774	0.0205826	No	
