NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	1183	0.5068939328193665	-0.0018613649	No	
row_1	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1288	0.4904246926307678	0.03305618	No	
row_2	PCYT1B	phosphate cytidylyltransferase 1B, choline [Source:HGNC Symbol;Acc:HGNC:8755]	3171	0.3220962882041931	-0.008011015	No	
row_3	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	3679	0.2974679470062256	-0.0024962998	No	
row_4	FOXP2	forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]	4181	0.27365079522132874	0.0013561654	No	
row_5	TAF11	TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544]	4236	0.2706024646759033	0.0207421	No	
row_6	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]	5925	0.20480041205883026	-0.022708433	No	
row_7	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	7760	0.16138704121112823	-0.07472671	No	
row_8	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	7771	0.1609964519739151	-0.06241212	No	
row_9	JOSD1	Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953]	7807	0.15914098918437958	-0.0511257	No	
row_10	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600]	8017	0.15062110126018524	-0.046649586	No	
row_11	ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	9359	0.10100692510604858	-0.086022146	No	
row_12	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]	9716	0.08879823237657547	-0.09159755	No	
row_13	UBASH3B	ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]	9813	0.08586375415325165	-0.08822921	No	
