NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	5	1.481978178024292	0.020456381	Yes	
row_1	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	28	1.1486340761184692	0.035666857	Yes	
row_2	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	41	1.096213936805725	0.05050312	Yes	
row_3	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.06396217	Yes	
row_4	PPP1R14B-AS1	PPP1R14B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54233]	72	1.007445216178894	0.077775866	Yes	
row_5	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	74	1.002806305885315	0.0917028	Yes	
row_6	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	89	0.9709486961364746	0.1047238	Yes	
row_7	TSPAN4	tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859]	208	0.8300102949142456	0.112083636	Yes	
row_8	H3C12	H3 clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:4774]	271	0.7801637649536133	0.120741114	Yes	
row_9	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	355	0.7322933077812195	0.1279852	Yes	
row_10	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	383	0.7142737507820129	0.13697006	Yes	
row_11	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.14335442	Yes	
row_12	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	636	0.6245601177215576	0.14621767	Yes	
row_13	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	667	0.6155884861946106	0.1537218	Yes	
row_14	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	703	0.6044852137565613	0.1608935	Yes	
row_15	POLR2L	RNA polymerase II, I and III subunit L [Source:HGNC Symbol;Acc:HGNC:9199]	731	0.59839928150177	0.168265	Yes	
row_16	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	812	0.5790117383003235	0.17348157	Yes	
row_17	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	822	0.576324999332428	0.18118589	Yes	
row_18	H3C1	H3 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4766]	827	0.5755157470703125	0.18905678	Yes	
row_19	H2AC13	H2A clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4725]	834	0.5746250152587891	0.19684413	Yes	
row_20	H2AC12	H2A clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13671]	891	0.5622366070747375	0.2026807	Yes	
row_21	H2BC17	H2B clustered histone 17 [Source:HGNC Symbol;Acc:HGNC:4758]	1023	0.5364824533462524	0.20549127	Yes	
row_22	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1054	0.5295168161392212	0.211797	Yes	
row_23	H2BC16P	H2B clustered histone 16, pseudogene [Source:HGNC Symbol;Acc:HGNC:4754]	1222	0.49905920028686523	0.21280614	Yes	
row_24	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1282	0.4910338222980499	0.21754465	Yes	
row_25	RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	1335	0.48305588960647583	0.22242102	Yes	
row_26	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]	1414	0.47164836525917053	0.22621386	Yes	
row_27	H4C8	H4 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4788]	1458	0.4654427766799927	0.23116508	Yes	
row_28	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	1493	0.4610312581062317	0.23637499	Yes	
row_29	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	1681	0.439628928899765	0.23584534	Yes	
row_30	H2BC21	H2B clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:4760]	1709	0.4366854131221771	0.24096523	Yes	
row_31	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	1739	0.4334358274936676	0.24596873	Yes	
row_32	IER5L	immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]	1760	0.43108075857162476	0.25125954	Yes	
row_33	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	1794	0.42821037769317627	0.25604802	Yes	
row_34	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1905	0.4162857234477997	0.25793192	Yes	
row_35	FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	1936	0.41421252489089966	0.26263222	Yes	
row_36	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	1980	0.41084912419319153	0.26682332	Yes	
row_37	EIF1	eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]	1982	0.41058191657066345	0.27250445	Yes	
row_38	SNHG7	small nucleolar RNA host gene 7 [Source:HGNC Symbol;Acc:HGNC:28254]	2006	0.40758365392684937	0.2773614	Yes	
row_39	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	2167	0.39487195014953613	0.27716887	Yes	
row_40	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	2171	0.3944282829761505	0.28255397	Yes	
row_41	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	2207	0.39065811038017273	0.28674847	Yes	
row_42	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	2261	0.3863016963005066	0.29024214	Yes	
row_43	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	2388	0.37436553835868835	0.2909733	Yes	
row_44	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	2443	0.3703639507293701	0.29420948	Yes	
row_45	MIR3143	microRNA 3143 [Source:HGNC Symbol;Acc:HGNC:38284]	2461	0.3694641590118408	0.2987491	Yes	
row_46	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	2490	0.36686164140701294	0.3028612	Yes	
row_47	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	2634	0.356646329164505	0.30274105	Yes	
row_48	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	2649	0.35572633147239685	0.30719605	Yes	
row_49	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2735	0.34915435314178467	0.3090344	Yes	
row_50	MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	2736	0.3491217792034149	0.31389537	Yes	
row_51	INTS6-AS1	INTS6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42691]	2805	0.34373220801353455	0.31626284	Yes	
row_52	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	2897	0.33752840757369995	0.31772593	Yes	
row_53	H3C10	H3 clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4775]	3039	0.32911378145217896	0.31729355	Yes	
row_54	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	3054	0.3282890319824219	0.32136652	Yes	
row_55	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	3075	0.3271139860153198	0.32520977	Yes	
