NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	83	0.9850785732269287	0.053626817	No	
row_1	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	302	0.755825400352478	0.089326	No	
row_2	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	723	0.599011242389679	0.10889146	No	
row_3	SAR1A	secretion associated Ras related GTPase 1A [Source:HGNC Symbol;Acc:HGNC:10534]	2119	0.3988772928714752	0.08254952	No	
row_4	UBE2R2	ubiquitin conjugating enzyme E2 R2 [Source:HGNC Symbol;Acc:HGNC:19907]	2200	0.3913329243659973	0.102193296	No	
row_5	IL1RAP	interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]	2353	0.3774985671043396	0.11850123	No	
row_6	DPP3	dipeptidyl peptidase 3 [Source:HGNC Symbol;Acc:HGNC:3008]	2572	0.36152300238609314	0.13156219	No	
row_7	CNPY3	canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]	2580	0.36102041602134705	0.1520425	No	
row_8	PCDH19	protocadherin 19 [Source:HGNC Symbol;Acc:HGNC:14270]	2655	0.35546571016311646	0.16983882	No	
row_9	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	3948	0.2847025990486145	0.14057757	No	
row_10	PNCK	pregnancy up-regulated nonubiquitous CaM kinase [Source:HGNC Symbol;Acc:HGNC:13415]	4255	0.2699592709541321	0.14527519	No	
row_11	OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:HGNC:23077]	5215	0.23190774023532867	0.12473756	No	
row_12	SELENOI	selenoprotein I [Source:HGNC Symbol;Acc:HGNC:29361]	5798	0.2108481228351593	0.11629874	No	
row_13	GRIN1	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	6247	0.19402176141738892	0.111624	No	
row_14	SYNGAP1	synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]	6667	0.18596449494361877	0.10751035	No	
row_15	SLC32A1	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	7252	0.16913241147994995	0.09660589	No	
row_16	NLK	nemo like kinase [Source:HGNC Symbol;Acc:HGNC:29858]	7904	0.1552634835243225	0.08254011	No	
row_17	PHF20L1	PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]	8735	0.12265133857727051	0.060283337	No	
row_18	PTPN9	protein tyrosine phosphatase non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]	8777	0.12119746208190918	0.06579441	No	
row_19	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	8924	0.11555193364620209	0.067274906	No	
row_20	KCNIP2	potassium voltage-gated channel interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:15522]	9211	0.10665563493967056	0.0633027	No	
row_21	DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	9278	0.1044454425573349	0.0669695	No	
row_22	DDX52	DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]	10881	0.049851272255182266	0.013281804	No	
row_23	USP4	ubiquitin specific peptidase 4 [Source:HGNC Symbol;Acc:HGNC:12627]	11913	0.01926814205944538	-0.022005748	No	
row_24	CMTM4	CKLF like MARVEL transmembrane domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19175]	12085	0.014397670514881611	-0.027215347	No	
row_25	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	12400	0.005118923727422953	-0.0380055	No	
row_26	OSBP	oxysterol binding protein [Source:HGNC Symbol;Acc:HGNC:8503]	12752	-0.004864299204200506	-0.050116353	No	
row_27	PPP4R3B	protein phosphatase 4 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:29267]	12753	-0.004933847580105066	-0.049833085	No	
row_28	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	13892	-0.03674257546663284	-0.08789442	No	
row_29	PABIR2	PABIR family member 2 [Source:HGNC Symbol;Acc:HGNC:30490]	14138	-0.043001286685466766	-0.09407395	No	
row_30	RBM38	RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]	14711	-0.05947887524962425	-0.110850394	No	
row_31	RAB28	RAB28, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9768]	14883	-0.0642508789896965	-0.11319775	No	
row_32	FBXO33	F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]	15331	-0.07757558673620224	-0.12452276	No	
row_33	RNF26	ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646]	15798	-0.0900346115231514	-0.13580315	No	
row_34	FBXO21	F-box protein 21 [Source:HGNC Symbol;Acc:HGNC:13592]	16139	-0.09919688105583191	-0.14210975	No	
row_35	CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	16508	-0.10891500860452652	-0.14884679	No	
row_36	GATAD2B	GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]	16828	-0.11753953993320465	-0.153359	No	
row_37	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	16897	-0.11927452683448792	-0.14891142	No	
row_38	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	16952	-0.12090528756380081	-0.14387602	No	
row_39	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]	17953	-0.14896762371063232	-0.1706228	No	
row_40	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	18115	-0.1537788212299347	-0.16747706	No	
row_41	PYY2	peptide YY 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9749]	18226	-0.156774640083313	-0.16235904	No	
row_42	SPPL3	signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424]	18393	-0.16165800392627716	-0.15893744	No	
row_43	ARMC1	armadillo repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:17684]	18526	-0.16626693308353424	-0.15405102	No	
row_44	TXLNG	taxilin gamma [Source:HGNC Symbol;Acc:HGNC:18578]	20911	-0.21605832874774933	-0.22580044	No	
row_45	SYNGR1	synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]	21634	-0.23376086354255676	-0.23786569	No	
row_46	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	23529	-0.28657907247543335	-0.2882695	Yes	
row_47	SMYD5	SMYD family member 5 [Source:HGNC Symbol;Acc:HGNC:16258]	23555	-0.28762057423591614	-0.2726387	Yes	
row_48	NLGN1	neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]	24310	-0.3181602954864502	-0.28098792	Yes	
row_49	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]	24357	-0.3192134201526642	-0.26428455	Yes	
row_50	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	24789	-0.33681896328926086	-0.26016074	Yes	
row_51	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	24885	-0.3403201103210449	-0.24397528	Yes	
row_52	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	24938	-0.3425329029560089	-0.2261449	Yes	
row_53	PIANP	PILR alpha associated neural protein [Source:HGNC Symbol;Acc:HGNC:25338]	25012	-0.3452807664871216	-0.20889802	Yes	
row_54	SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045]	25943	-0.3907128572463989	-0.21929443	Yes	
