NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	396	0.7106736898422241	0.0021057555	No	
row_1	ZNF503	zinc finger protein 503 [Source:HGNC Symbol;Acc:HGNC:23589]	503	0.6672109365463257	0.013496597	No	
row_2	ZFAND5	zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]	856	0.5713580250740051	0.013998426	No	
row_3	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	860	0.5696800947189331	0.026823586	No	
row_4	PPP1R26	protein phosphatase 1 regulatory subunit 26 [Source:HGNC Symbol;Acc:HGNC:29089]	1036	0.5331013798713684	0.03272627	No	
row_5	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	1116	0.5179456472396851	0.0416852	No	
row_6	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.052642923	No	
row_7	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	1395	0.4748939573764801	0.054319926	No	
row_8	ANO5	anoctamin 5 [Source:HGNC Symbol;Acc:HGNC:27337]	1562	0.4526998698711395	0.058716316	No	
row_9	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	1682	0.43949228525161743	0.06447762	No	
row_10	ITFG1	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]	1817	0.425995409488678	0.06940126	No	
row_11	USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	2253	0.386825829744339	0.06277449	No	
row_12	SNX3	sorting nexin 3 [Source:HGNC Symbol;Acc:HGNC:11174]	2335	0.3791272044181824	0.06851148	No	
row_13	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	2717	0.3507493734359741	0.06297845	No	
row_14	GXYLT1	glucoside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27482]	3341	0.3147656321525574	0.048057076	No	
row_15	PGAP1	post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]	4121	0.27681130170822144	0.026748711	No	
row_16	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	4248	0.27035969495773315	0.028422862	No	
row_17	CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	4303	0.2681962549686432	0.03259811	No	
row_18	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	4603	0.25624537467956543	0.027824294	No	
row_19	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]	4627	0.255317747592926	0.032805216	No	
row_20	NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	4701	0.2522242069244385	0.035944935	No	
row_21	CEP44	centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356]	4758	0.2494247853755951	0.039623246	No	
row_22	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29364]	5155	0.2337815761566162	0.030903816	No	
row_23	STXBP5L	syntaxin binding protein 5L [Source:HGNC Symbol;Acc:HGNC:30757]	5162	0.23349739611148834	0.03599156	No	
row_24	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	5164	0.23344437777996063	0.041255195	No	
row_25	SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	5234	0.23111368715763092	0.0440574	No	
row_26	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	5254	0.22983181476593018	0.048601482	No	
row_27	REEP3	receptor accessory protein 3 [Source:HGNC Symbol;Acc:HGNC:23711]	5839	0.2087658792734146	0.032655336	No	
row_28	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]	5925	0.20480041205883026	0.03429353	No	
row_29	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	5942	0.20404203236103058	0.038358457	No	
row_30	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]	6115	0.19936729967594147	0.03679182	No	
row_31	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	6245	0.19404710829257965	0.03662746	No	
row_32	FIGN	fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]	6764	0.18401029706001282	0.022457067	No	
row_33	HEATR5A	HEAT repeat containing 5A [Source:HGNC Symbol;Acc:HGNC:20276]	7454	0.16851140558719635	0.0018781155	No	
row_34	MAN2A1	mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824]	7483	0.16749398410320282	0.0046883877	No	
row_35	MEOX2	mesenchyme homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7014]	7492	0.16702450811862946	0.008196394	No	
row_36	PITPNA	phosphatidylinositol transfer protein alpha [Source:HGNC Symbol;Acc:HGNC:9001]	7496	0.16677764058113098	0.011875895	No	
row_37	EPGN	epithelial mitogen [Source:HGNC Symbol;Acc:HGNC:17470]	7536	0.16499163210391998	0.01423975	No	
row_38	UEVLD	UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866]	7590	0.16285379230976105	0.016059205	No	
row_39	USP3	ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:12626]	7945	0.15350554883480072	0.0070051756	No	
row_40	MBD2	methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917]	8225	0.1420857012271881	3.4838857E-4	No	
row_41	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	8641	0.12629328668117523	-0.011483935	No	
row_42	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	8900	0.1164625734090805	-0.017978542	No	
row_43	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	9264	0.10480605810880661	-0.028456798	No	
row_44	ZNF99	zinc finger protein 99 [Source:HGNC Symbol;Acc:HGNC:13175]	9463	0.09763588756322861	-0.033253588	No	
row_45	ATOSA	atos homolog A [Source:HGNC Symbol;Acc:HGNC:25609]	9705	0.0892825722694397	-0.039763033	No	
row_46	TAF9B	TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306]	10108	0.07566536962985992	-0.05228413	No	
row_47	TRAPPC11	trafficking protein particle complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25751]	10152	0.07376452535390854	-0.052132756	No	
row_48	HACD4	3-hydroxyacyl-CoA dehydratase 4 [Source:HGNC Symbol;Acc:HGNC:20920]	10287	0.06943105906248093	-0.05530293	No	
row_49	RAP2B	RAP2B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9862]	10332	0.06805630028247833	-0.05531655	No	
