NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHC2	polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]	524	0.6610284447669983	0.021519339	No	
row_1	PHC1	polyhomeotic homolog 1 [Source:HGNC Symbol;Acc:HGNC:3182]	1582	0.4498569369316101	0.011429995	No	
row_2	SEH1L	SEH1 like nucleoporin [Source:HGNC Symbol;Acc:HGNC:30379]	1634	0.4437636137008667	0.03649807	No	
row_3	XRCC4	X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831]	2789	0.3448696732521057	0.016626427	No	
row_4	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]	2844	0.34063902497291565	0.035344545	No	
row_5	NUP50	nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]	3329	0.3151838183403015	0.03733617	No	
row_6	PCGF2	polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]	3552	0.3042158782482147	0.0479161	No	
row_7	CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	4421	0.26298269629478455	0.033186283	No	
row_8	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	5645	0.21617938578128815	0.0030859641	No	
row_9	HDAC7	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]	7811	0.15894800424575806	-0.06374585	No	
row_10	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]	8333	0.13778860867023468	-0.07380183	No	
row_11	UBE2I	ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]	8350	0.13743603229522705	-0.06604535	No	
row_12	RING1	ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]	8369	0.1368733048439026	-0.058393568	No	
row_13	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	9096	0.10947529971599579	-0.07740334	No	
row_14	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	9108	0.10923739522695541	-0.07117766	No	
