NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	13	1.329020380973816	0.060742564	Yes	
row_1	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	99	0.9389217495918274	0.10097865	Yes	
row_2	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	188	0.8459339737892151	0.13682671	Yes	
row_3	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	210	0.8298792839050293	0.17430125	Yes	
row_4	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	227	0.8108921051025391	0.211078	Yes	
row_5	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	433	0.6959846019744873	0.2358895	Yes	
row_6	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	458	0.6872352957725525	0.26668933	Yes	
row_7	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	491	0.672667920589447	0.29653585	Yes	
row_8	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	613	0.632758617401123	0.3214019	Yes	
row_9	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	644	0.6221449971199036	0.34899247	Yes	
row_10	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	711	0.6024589538574219	0.37440526	Yes	
row_11	SREBF2	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]	941	0.5512067675590515	0.39170226	Yes	
row_12	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	975	0.5446587204933167	0.41561866	Yes	
row_13	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	1300	0.48908132314682007	0.42670023	Yes	
row_14	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	1667	0.44072163105010986	0.4340718	Yes	
row_15	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	1919	0.41521090269088745	0.44432935	Yes	
row_16	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	2011	0.407408207654953	0.45987728	Yes	
row_17	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	2079	0.4022664725780487	0.4760359	Yes	
row_18	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	2597	0.3598114848136902	0.47434965	Yes	
row_19	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	2740	0.3488534390926361	0.48540026	Yes	
row_20	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	3261	0.317962646484375	0.48168093	Yes	
row_21	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	3531	0.3052988350391388	0.4862414	Yes	
row_22	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	4032	0.28071263432502747	0.48151287	Yes	
