NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	418	0.702613890171051	0.022038668	No	
row_1	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.023602981	No	
row_2	LINC03007	long intergenic non-protein coding RNA 3007 [Source:HGNC Symbol;Acc:HGNC:56132]	1193	0.5049332976341248	0.04810586	No	
row_3	DNAH11	dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]	2498	0.3663173317909241	0.021247443	No	
row_4	HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	2827	0.3422619700431824	0.027591238	No	
row_5	PALS2	protein associated with LIN7 2, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18167]	2851	0.33999407291412354	0.044585645	No	
row_6	HOXA4	homeobox A4 [Source:HGNC Symbol;Acc:HGNC:5105]	2910	0.33680036664009094	0.06017696	No	
row_7	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	3011	0.330776184797287	0.073969774	No	
row_8	RPL12P10	ribosomal protein L12 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:22583]	3565	0.303580105304718	0.07034304	No	
row_9	STK31	serine/threonine kinase 31 [Source:HGNC Symbol;Acc:HGNC:11407]	3774	0.2927447557449341	0.078330606	No	
row_10	PSMC1P2	proteasome 26S subunit, ATPase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39777]	4567	0.2575828433036804	0.063855894	No	
row_11	EIF4HP1	eukaryotic translation initiation factor 4H pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49035]	4832	0.24680514633655548	0.06746013	No	
row_12	TPM3P4	tropomyosin 3 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39167]	5333	0.22832702100276947	0.061763566	No	
row_13	MALSU1	mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]	5585	0.21937711536884308	0.06439034	No	
row_14	PCMTD1P3	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38806]	6929	0.179652601480484	0.02637865	No	
row_15	STEAP1B-AS1	STEAP1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56137]	8299	0.1390461027622223	-0.0146777695	No	
row_16	HOXA10-AS	HOXA10 antisense RNA [Source:HGNC Symbol;Acc:HGNC:40281]	8427	0.134661003947258	-0.012109467	No	
row_17	TAX1BP1	Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]	8712	0.12329687923192978	-0.015679928	No	
row_18	FCF1P1	FCF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44613]	8896	0.11658536642789841	-0.016035631	No	
row_19	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1 [Source:HGNC Symbol;Acc:HGNC:37117]	8949	0.11420268565416336	-0.011890582	No	
row_20	NFE2L3	NFE2 like bZIP transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:7783]	9375	0.1004994586110115	-0.021633651	No	
row_21	RPL7AP41	ribosomal protein L7a pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:36403]	9543	0.09463077038526535	-0.022574233	No	
row_22	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	9579	0.09314217418432236	-0.018931923	No	
