NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	134	0.8981435298919678	0.017822573	No	
row_1	C5AR1	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	256	0.7909632921218872	0.033412416	No	
row_2	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	667	0.6155884861946106	0.034366652	No	
row_3	ACTL10	actin like 10 [Source:HGNC Symbol;Acc:HGNC:16127]	908	0.5596499443054199	0.039932724	No	
row_4	FAM135B	family with sequence similarity 135 member B [Source:HGNC Symbol;Acc:HGNC:28029]	1030	0.5341928005218506	0.049071282	No	
row_5	PAK5	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	1123	0.5158774852752686	0.05877615	No	
row_6	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	1636	0.44333311915397644	0.051792156	No	
row_7	DEPDC4	DEP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:22952]	2009	0.4074803292751312	0.048862774	No	
row_8	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	2516	0.3652983009815216	0.040130552	No	
row_9	TRIM45	tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]	2814	0.34326231479644775	0.03824239	No	
row_10	GOLPH3	golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452]	4089	0.2779158651828766	1.3079011E-4	No	
row_11	GGNBP2	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19357]	4105	0.27721747756004333	0.0065648635	No	
row_12	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	4120	0.27681827545166016	0.013024304	No	
row_13	LRAT	lecithin retinol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6685]	4722	0.2511986494064331	-0.0019372334	No	
row_14	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	5100	0.2361963540315628	-0.009347056	No	
row_15	BICC1	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	5157	0.23371420800685883	-0.0054572145	No	
row_16	MARCHF11	membrane associated ring-CH-type finger 11 [Source:HGNC Symbol;Acc:HGNC:33609]	5212	0.23197482526302338	-0.001540283	No	
row_17	KIAA2013	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	5519	0.22142596542835236	-0.0068081114	No	
row_18	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	6289	0.19279219210147858	-0.029183576	No	
row_19	STRN	striatin [Source:HGNC Symbol;Acc:HGNC:11424]	6772	0.1837625950574875	-0.041627333	No	
row_20	EXD2	exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]	6810	0.18242113292217255	-0.038353696	No	
row_21	TBCEL	tubulin folding cofactor E like [Source:HGNC Symbol;Acc:HGNC:28115]	6813	0.18217743933200836	-0.033847332	No	
