NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	80	0.9928036332130432	0.018316051	Yes	
row_1	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	101	0.935763955116272	0.03754411	Yes	
row_2	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	140	0.8911981582641602	0.055184476	Yes	
row_3	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	170	0.864549994468689	0.07257618	Yes	
row_4	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	255	0.7909669280052185	0.08645013	Yes	
row_5	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	303	0.7557880878448486	0.10088639	Yes	
row_6	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	359	0.730108916759491	0.114491895	Yes	
row_7	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	368	0.7239489555358887	0.12963253	Yes	
row_8	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	438	0.693875253200531	0.1419697	Yes	
row_9	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	513	0.6639753580093384	0.15349254	Yes	
row_10	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	591	0.6409779787063599	0.16441904	Yes	
row_11	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	611	0.6340736150741577	0.17725483	Yes	
row_12	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	660	0.6182618141174316	0.18872553	Yes	
row_13	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	688	0.609169602394104	0.20074706	Yes	
row_14	GCKR	glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]	787	0.5855766534805298	0.20974866	Yes	
row_15	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	818	0.5771859288215637	0.22098239	Yes	
row_16	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	924	0.5545670390129089	0.22907512	Yes	
row_17	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	945	0.550531268119812	0.2400955	Yes	
row_18	TMEM176B	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	1133	0.514271080493927	0.2444224	Yes	
row_19	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	1214	0.5005388855934143	0.25225037	Yes	
row_20	CYP2S1	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]	1258	0.49444442987442017	0.26126033	Yes	
row_21	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1647	0.44226717948913574	0.25692675	Yes	
row_22	PEMT	phosphatidylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8830]	1710	0.43641147017478943	0.26402664	Yes	
row_23	KARS1	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	1790	0.42843684554100037	0.27035388	Yes	
row_24	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1837	0.42433613538742065	0.27776375	Yes	
row_25	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	2058	0.40393149852752686	0.2785698	Yes	
row_26	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]	2236	0.3885699510574341	0.28057307	Yes	
row_27	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	2281	0.38392341136932373	0.28719285	Yes	
row_28	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2345	0.37878990173339844	0.2930296	Yes	
row_29	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	2488	0.367029070854187	0.29581487	Yes	
row_30	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367]	2681	0.3535058796405792	0.29653928	Yes	
row_31	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	3000	0.33152228593826294	0.292328	Yes	
row_32	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	3001	0.33135801553726196	0.29938784	Yes	
row_33	PYCR1	pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]	3044	0.32883232831954956	0.30490476	Yes	
row_34	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	3087	0.32640984654426575	0.31037006	Yes	
row_35	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	3099	0.3255953788757324	0.31691712	Yes	
row_36	ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	3115	0.3246084153652191	0.32330132	Yes	
row_37	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	3154	0.32288432121276855	0.32883334	Yes	
row_38	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	3274	0.3174680769443512	0.33137813	Yes	
row_39	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	3351	0.3144788444042206	0.33538377	Yes	
row_40	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	3501	0.30710452795028687	0.3366441	Yes	
row_41	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	3511	0.3064158260822296	0.34285346	Yes	
row_42	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	3720	0.29535946249961853	0.34177172	Yes	
row_43	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	3750	0.2939561605453491	0.3470065	Yes	
row_44	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	3957	0.2842472195625305	0.34575891	Yes	
row_45	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	3979	0.28287288546562195	0.3510412	Yes	
row_46	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	3995	0.28224998712539673	0.35652292	Yes	
row_47	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	4044	0.2804345488548279	0.36079597	Yes	
row_48	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	4191	0.2730417251586914	0.36143693	Yes	
row_49	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	4452	0.26167595386505127	0.3577939	Yes	
row_50	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	4667	0.25352463126182556	0.35560814	Yes	
row_51	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	4852	0.2453550100326538	0.35431194	Yes	
row_52	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	4973	0.23978690803050995	0.35516623	Yes	
row_53	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	4975	0.23966649174690247	0.36023703	Yes	
row_54	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	5113	0.2354382574558258	0.36039594	Yes	
row_55	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	5228	0.23134353756904602	0.36128303	Yes	
row_56	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	5290	0.22880516946315765	0.36399516	Yes	
row_57	CNDP2	carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]	5374	0.22716093063354492	0.36589226	Yes	
row_58	DHRS7	dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]	5449	0.22336268424987793	0.36802754	Yes	
row_59	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	5468	0.22230374813079834	0.3721257	Yes	
row_60	TTPA	alpha tocopherol transfer protein [Source:HGNC Symbol;Acc:HGNC:12404]	5553	0.2203904092311859	0.37384307	Yes	
row_61	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	5603	0.21828022599220276	0.37675643	Yes	
row_62	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	5633	0.21666809916496277	0.3803445	Yes	
row_63	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	5743	0.2131039798259735	0.38102028	Yes	
row_64	SLC12A4	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	5778	0.21158276498317719	0.38432276	Yes	
row_65	MPP2	MAGUK p55 scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:7220]	5902	0.20570839941501617	0.3843446	Yes	
row_66	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	5914	0.2052193135023117	0.38832694	Yes	
row_67	DDAH2	dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]	6045	0.20260778069496155	0.38803455	Yes	
row_68	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	6065	0.20163990557193756	0.391657	Yes	
row_69	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	6568	0.1874944120645523	0.37785345	No	
row_70	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	6664	0.18605828285217285	0.37844935	No	
row_71	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	6979	0.17869877815246582	0.37112388	No	
row_72	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	6980	0.17867346107959747	0.37493068	No	
