NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	166	0.8657358288764954	0.029929275	No	
row_1	POLDIP3	DNA polymerase delta interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23782]	442	0.6928579211235046	0.048860513	No	
row_2	MED16	mediator complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:17556]	470	0.6813861727714539	0.076078236	No	
row_3	C9orf72	C9orf72-SMCR8 complex subunit [Source:HGNC Symbol;Acc:HGNC:28337]	1316	0.48699548840522766	0.06636256	No	
row_4	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	1984	0.41032108664512634	0.059764802	No	
row_5	C2orf42	chromosome 2 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:26056]	2013	0.4073062837123871	0.07561552	No	
row_6	STRAP	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	2400	0.37316352128982544	0.07740803	No	
row_7	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	3028	0.3296774625778198	0.06888913	No	
row_8	SNX16	sorting nexin 16 [Source:HGNC Symbol;Acc:HGNC:14980]	3912	0.28612712025642395	0.0495263	No	
row_9	NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:25783]	3946	0.28472161293029785	0.060132198	No	
row_10	RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	4461	0.26095521450042725	0.05276383	No	
row_11	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	6249	0.19387157261371613	-0.002347693	No	
row_12	TIA1	TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]	6406	0.19084776937961578	3.19873E-5	No	
row_13	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	7517	0.16592943668365479	-0.032319285	No	
row_14	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	8076	0.14850370585918427	-0.04589123	No	
row_15	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	8107	0.1467914879322052	-0.04088199	No	
row_16	SP2	Sp2 transcription factor [Source:HGNC Symbol;Acc:HGNC:11207]	8247	0.14106978476047516	-0.039959818	No	
row_17	HCG14	HLA complex group 14 [Source:HGNC Symbol;Acc:HGNC:18323]	9250	0.10526727139949799	-0.07100396	No	
row_18	POLG-DT	POLG divergent transcript [Source:HGNC Symbol;Acc:HGNC:55363]	9698	0.08955391496419907	-0.08309199	No	
row_19	MYO18B	myosin XVIIIB [Source:HGNC Symbol;Acc:HGNC:18150]	9858	0.08427637070417404	-0.08522442	No	
row_20	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]	9902	0.08238334953784943	-0.08333734	No	
row_21	SNORD3A	small nucleolar RNA, C/D box 3A [Source:HGNC Symbol;Acc:HGNC:33189]	10220	0.07166913896799088	-0.09157246	No	
row_22	TMEM259	transmembrane protein 259 [Source:HGNC Symbol;Acc:HGNC:17039]	10629	0.05867002531886101	-0.10355967	No	
row_23	POLG	DNA polymerase gamma, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9179]	11155	0.041626837104558945	-0.120384626	No	
row_24	LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]	11156	0.041613657027482986	-0.11866414	No	
row_25	KLHL7	kelch like family member 7 [Source:HGNC Symbol;Acc:HGNC:15646]	11184	0.040592260658741	-0.117939666	No	
row_26	MTCO3P12	MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]	11756	0.023632250726222992	-0.13713358	No	
row_27	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	11844	0.021141674369573593	-0.13933283	No	
row_28	ITFG2-AS1	ITFG2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53128]	12421	0.004704151302576065	-0.15948594	No	
row_29	NCOA7	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	12626	-0.0011439096415415406	-0.1666451	No	
row_30	RNU4-2	RNA, U4 small nuclear 2 [Source:HGNC Symbol;Acc:HGNC:10193]	14043	-0.040795329958200455	-0.21497962	No	
row_31	KIAA1671	KIAA1671 [Source:HGNC Symbol;Acc:HGNC:29345]	14423	-0.051216352730989456	-0.22625056	No	
row_32	WDR74	WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]	14523	-0.05399039015173912	-0.2275156	No	
